root,rows,rel_spread_median,rel_spread_p90,volume_median,no_trade_share,window
AAPL,630,0.03174603174603177,0.13017751479289938,478.5,0.0,2025-06
JNJ,504,0.18079673135852914,0.5339366515837105,10.0,0.1884920634920635,2025-06
MOH,108,0.2511726925019846,0.6605504587155964,0.0,0.5833333333333334,2025-06
NVDA,1550,0.018838350978884554,0.04580152671755722,303.0,0.008387096774193548,2025-06
NWSA,9,0.3999999999999999,0.5,0.0,0.6666666666666666,2025-06
AAPL,606,0.02816901408450711,0.1188630490956071,637.5,0.0016501650165016502,2023-07
JNJ,504,0.12071228165444836,0.39436619718309857,27.0,0.10119047619047619,2023-07
MOH,108,0.0512904816702285,0.1016949152542372,1.0,0.4444444444444444,2023-07
NVDA,1356,0.01977753330888643,0.04200323101777051,154.0,0.017699115044247787,2023-07
NWSA,36,0.2111111111111111,0.5945945945945945,0.0,0.6944444444444444,2023-07
