window,check,rows,share
2025-06,crossed_quote,0,0.0
2025-06,locked_quote,0,0.0
2025-06,zero_bid,18017,0.10786039272030651
2025-06,no_quote_at_all,0,0.0
2025-06,no_trade,89440,0.5354406130268199
2025-06,no_trade_zero_close,89440,0.5354406130268199
2025-06,traded_zero_close,0,0.0
2025-06,already_expired,0,0.0
2025-06,duplicate_contract_days,0,0.0
2025-06,null_fields,0,0.0
2023-07,crossed_quote,0,0.0
2023-07,locked_quote,0,0.0
2023-07,zero_bid,17206,0.10390598579641529
2023-07,no_quote_at_all,0,0.0
2023-07,no_trade,88313,0.5333168268998503
2023-07,no_trade_zero_close,88313,0.5333168268998503
2023-07,traded_zero_close,0,0.0
2023-07,already_expired,0,0.0
2023-07,duplicate_contract_days,0,0.0
2023-07,null_fields,0,0.0
