symbol,date,close,return,ratio,split_candidate
HES,2025-07-18,0.0,-1.0,inf,false
JNPR,2025-07-02,0.0,-1.0,inf,false
K,2025-12-11,0.0,-1.0,inf,false
ORLY,2025-06-10,91.71000000000001,-0.9319709220384245,14.699596554356127,true
NFLX,2025-11-17,110.29,-0.9008335056690974,10.08405113790915,true
NOW,2025-12-18,153.38,-0.8039596620611205,5.100991002738298,true
IBKR,2025-06-18,52.6,-0.74732190036989,3.9576045627376426,true
TPL,2025-12-23,297.33,-0.6726882430647292,3.055191201695086,true
DD,2025-11-03,34.690000000000005,-0.5751377832210656,2.35370423753243,false
FAST,2025-05-22,40.715,-0.5001841394549472,2.0007368291784355,true
FMC,2025-10-30,15.530000000000001,-0.4652203856749312,1.869929169349646,false
CNC,2025-07-02,33.78,-0.40370697263901156,1.6770278271166372,false
TTD,2025-08-08,54.230000000000004,-0.386052303860523,1.6288032454361054,false
WST,2025-02-13,199.11,-0.3821831947374954,1.6186027823815983,false
ALGN,2025-07-31,129.01,-0.3662622193839957,1.577939694597318,false
SNPS,2025-09-10,387.78000000000003,-0.3583731819911643,1.5585383464851204,false
ORCL,2025-09-10,328.33,0.35948821994948443,0.7355709195017208,false
PSKY,2025-08-13,15.0,0.36736554238833175,0.7313333333333334,false
SOLS,2025-03-26,0.0001,99.00000000000001,0.009999999999999998,false
SOLS,2025-10-30,48.74,487399.0,2.051702913418137e-6,false
