bucket,name_days,mean_raw_vrp,mean_signal_z,share_in_decile_10,share_in_decile_1,fwd_pnl_per_vega,fwd_t_naive,signal_version
0-7,68983,-0.07073509860006484,0.37274770252243883,0.16751953379818216,0.03479118043575954,1.43497694345076,20.615058725586355,raw
8-30,186886,-0.044487504955125275,0.20092553978380012,0.13318814678467086,0.05923397151204478,1.643635076978138,38.06512086646382,raw
31-60,232755,-0.06600695937790438,0.08937358431866764,0.10707396189125905,0.07617451827028421,1.7732733078234035,47.275406865184266,raw
61-90,219388,-0.2042308671491017,-0.3472976850212408,0.04388571845315149,0.17484547924225574,1.5255683651721539,41.52850172566823,raw
91+,24944,-0.2400613507167815,-0.30587063252297264,0.06149775497113534,0.1801635663887107,0.11283307849210653,1.174634748402065,raw
no event,1328,-0.18590260764800284,-0.17980665188614461,0.05948795180722891,0.10466867469879518,-2.3743190240181424,-5.717967673300016,raw
0-7,57293,-0.061460949066183185,0.1117190185239713,0.12593161468242195,0.08641544342240762,1.3896486739230829,18.06252008519484,fully_adjusted
8-30,186886,-0.07292487017364221,0.01760610315690945,0.10368887985188832,0.0978939032351273,1.643635076978138,38.06512086646382,fully_adjusted
31-60,232755,-0.06350331706521221,0.01324063946420379,0.10135979893020558,0.09830508474576272,1.7732733078234035,47.275406865184266,fully_adjusted
61-90,219388,-0.09686453268187509,-0.07520608395667674,0.08376483672762412,0.11217113059966817,1.5255683651721539,41.52850172566823,fully_adjusted
91+,24944,-0.09735142333250194,0.06288091547050556,0.1086433611289288,0.08831783194355355,0.11283307849210653,1.174634748402065,fully_adjusted
no event,1328,-0.11916708703344227,0.1322434893029842,0.12349397590361445,0.07680722891566265,-2.3743190240181424,-5.717967673300016,fully_adjusted
