method,year,name_days,share,median_move,q25,q75
history,,168182,0.32395459527345505,0.04358810554733342,0.03328637262814508,0.05450884432446762
none,,2724,0.005247008107436536,,,
term,,348247,0.6707983966191085,0.043877057380635284,0.02849477842097164,0.05932765208037365
term,2018,20141,,0.038330947831273825,,
term,2019,43680,,0.042179597418127754,,
term,2020,46417,,0.04141340263499511,,
term,2021,48875,,0.044247350977127994,,
term,2022,50626,,0.04048911979660049,,
term,2023,53113,,0.04561641437327108,,
term,2024,55961,,0.04834791718254692,,
term,2025,29434,,0.047120029540153985,,
