split,series,events,months,event_mean,event_median,share_positive,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
session bmo,print_straddle,7814,108,-0.05572678484627351,-0.11915669441553928,0.3173790632198618,-0.06877788925168563,0.06867619722525158,-10.407693212587763,-0.2751622284965134,0.24502045585253263,-1.0014807463217643,-0.07659147507626884,-0.0883420479812248
session bmo,print_hedged,7814,108,-0.05662266312737573,-0.11114012866015976,0.3137957512157666,-0.06814122031103545,0.06598011036546651,-10.732693990481469,-0.25752832748624327,0.23263568380310257,-1.0327539607557257,-0.0753381750588431,-0.08609294190335703
session bmo,runup_straddle,7814,108,0.007317482382285557,-0.025974025974025983,0.4159236665102456,0.006395567510566792,0.050166516944635385,1.3248814403954428,-0.12470787082680763,0.15813685939610891,0.12748677604277467,0.0027220096351796563,-0.0020904471977145622
session amc,print_straddle,4966,108,-0.10701424980593562,-0.15147067065720599,0.2805074506645187,-0.12965264211808,0.09084451755443365,-14.831822735995097,-0.39665023983977404,0.10479402816059219,-1.42719280819993,-0.14576494285681096,-0.17248957405873555
session amc,print_hedged,4966,108,-0.10602581008964197,-0.14374640449438214,0.2803060813532018,-0.12880803707385785,0.08890362385894021,-15.05689340554606,-0.3748235336730618,0.10315750322018379,-1.448850243475253,-0.1443344502713263,-0.17020362791175336
session amc,runup_straddle,4966,108,0.01388524667423906,-0.01692117563566059,0.441131498470948,0.02171041138816574,0.06270031397412157,3.5984064379369975,-0.10393942814848241,0.27658996208619824,0.346256820932768,0.016331826282323325,0.009778919907221573
2017,print_straddle,1192,12,-0.06997136373693115,-0.14297070179423116,0.3196308724832215,-0.08197484760185379,0.06245875385657254,-4.546507646155526,-0.2537144936276206,0.000018767443457856636,-1.3124637066902924,-0.08890266409630765,-0.10125148540780404
2017,print_hedged,1192,12,-0.07130810985313396,-0.1300331744186048,0.32298657718120805,-0.0851803878021236,0.060517464123612585,-4.875840771528056,-0.258196381228072,-0.023992848025333136,-1.4075339909837379,-0.09188937631376703,-0.10428121291061254
2017,runup_straddle,1192,12,0.01359511364627544,-0.027881040892193343,0.4106583072100313,0.01622662012638772,0.03431684709753804,1.6379902509190352,-0.05621465452151451,0.06455973660369563,0.4728470561490438,0.014599793596624666,0.012352742332224054
2018,print_straddle,1271,12,-0.054047665500063104,-0.12265331664580725,0.3233674272226593,-0.06034613287566826,0.0560754700689281,-3.727924814628592,-0.12630359432443294,0.06522797135546216,-1.0761591976222518,-0.06465635145637649,-0.06974476663580265
