month,names,symbols
2017-10-01,289,289
2017-11-01,274,274
2017-12-01,302,302
2018-01-01,316,316
2018-02-01,302,302
2018-03-01,281,281
2018-04-01,292,292
2018-05-01,310,310
2018-06-01,304,304
2018-07-01,286,286
2018-08-01,288,288
2018-09-01,311,311
2018-10-01,285,285
2018-11-01,260,260
2018-12-01,152,152
2019-01-01,257,257
2019-02-01,282,282
2019-03-01,268,268
2019-04-01,288,288
2019-05-01,269,269
2019-06-01,265,265
2019-07-01,278,278
2019-08-01,231,231
2019-09-01,246,246
2019-10-01,279,279
2019-11-01,266,266
2019-12-01,259,259
2020-01-01,288,288
2020-02-01,244,244
2020-03-01,40,40
2020-04-01,197,197
2020-05-01,265,265
2020-06-01,258,258
2020-07-01,265,265
2020-08-01,298,298
2020-09-01,299,299
2020-10-01,282,282
2020-11-01,275,275
2020-12-01,300,300
2021-01-01,296,296
2021-02-01,301,301
2021-03-01,289,289
2021-04-01,287,287
2021-05-01,311,311
2021-06-01,313,313
2021-07-01,298,298
2021-08-01,317,317
2021-09-01,337,337
2021-10-01,321,321
2021-11-01,339,339
2021-12-01,310,310
2022-01-01,289,289
2022-02-01,289,289
2022-03-01,313,313
2022-04-01,266,266
2022-05-01,234,234
2022-06-01,217,217
2022-07-01,229,229
2022-08-01,282,282
2022-09-01,255,255
2022-10-01,272,272
2022-11-01,270,270
2022-12-01,287,287
2023-01-01,292,292
2023-02-01,299,299
2023-03-01,245,245
2023-04-01,288,288
2023-05-01,300,300
2023-06-01,317,317
2023-07-01,316,316
2023-08-01,314,314
2023-09-01,319,319
2023-10-01,296,296
2023-11-01,311,311
2023-12-01,334,334
2024-01-01,337,337
2024-02-01,348,348
2024-03-01,340,340
2024-04-01,308,308
2024-05-01,320,320
2024-06-01,317,317
2024-07-01,324,324
2024-08-01,335,335
2024-09-01,312,312
2024-10-01,309,309
2024-11-01,329,329
2024-12-01,244,244
2025-01-01,319,319
2025-02-01,327,327
2025-03-01,327,327
2025-04-01,260,260
2025-05-01,338,338
2025-06-01,295,295
2025-07-01,280,280
2025-08-01,307,307
2025-09-01,312,312
2025-10-01,299,299
2025-11-01,296,296
