variant,strategy,months,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
baseline,straddle,98,-0.0019050835231349456,0.28643210671856734,-0.06584235582789222,-0.8164986559088963,0.6222384601495896,-0.00665108232788574,-0.21305583878974566,-0.610420380846534
baseline,call_hedged,98,0.003301496464524214,0.02509261677013331,1.302500565532892,-0.04647855922394538,0.08589698917367117,0.13157242605537445,0.00239198483153924,0.0012283491261770862
baseline,put_hedged,98,0.001002453485477268,0.0239056078083407,0.41512365145589425,-0.06630241781954649,0.05503654123819377,0.041933821282197664,0.00015206649776122738,-0.0009909933938507809
2017-2021,straddle,51,0.0018225166033955826,0.29290437639879874,0.04443556645688257,-0.8164986559088963,0.5813093177022799,0.006222223873207574,-0.2698834481633643,-0.6498510007298084
2017-2021,call_hedged,51,0.006316054255081479,0.02693690792740596,1.674492467176117,-0.03886230281349167,0.08589698917367117,0.23447584526416423,0.005289460228805831,0.003994955383669119
2017-2021,put_hedged,51,0.0026123156868357485,0.023355296053414885,0.7987766657990844,-0.06363882889846265,0.05503654123819377,0.11185110567047553,0.0018138199717057102,0.0007500667429753971
2022-2025,straddle,47,-0.005949926213625537,0.28234571910534534,-0.14447054181568583,-0.5655080603858171,0.6222384601495896,-0.021073194353641234,-0.13334603007177004,-0.28737639419888794
2022-2025,call_hedged,47,0.000030380564132290002,0.02275999450666166,0.009151085436130113,-0.04647855922394538,0.04739207463835117,0.0013348229993376257,-0.0007239154311733387,-0.0017143814526980883
2022-2025,put_hedged,47,-0.0007444182649329971,0.024620724609154102,-0.20728368411679357,-0.06630241781954649,0.050188331797199615,-0.030235432821348357,-0.0016417910421243631,-0.0028565048163481377
moneyness 0.95-1.05,straddle,98,-0.008744661117497356,0.28280404174178014,-0.3061049903031173,-0.7308841848471282,0.6010301809262112,-0.030921273485482372,-0.16874790295276143,-0.4533174644595588
moneyness 0.95-1.05,call_hedged,98,0.003233810694534647,0.026792022553886186,1.19487405372697,-0.049429207434775066,0.12839244277394052,0.12070050657917136,0.002215744603314418,0.0009474063640877439
moneyness 0.95-1.05,put_hedged,98,0.0006372490157675881,0.025034100075756283,0.2519940155972004,-0.06794777407517388,0.09163866579209828,0.02545523960674415,-0.00028126534104944145,-0.0014847885219418933
no earnings in hold,straddle,98,-0.022113978559526397,0.33559388203013485,-0.6523278000601711,-1.2167658802498926,0.7135471338799867,-0.06589505871129277,NaN,NaN
no earnings in hold,call_hedged,98,0.0013245492038306034,0.0330111690606836,0.3972100507107136,-0.08596854957065149,0.15513002971123005,0.040124274344714,-0.00023680894821942466,-0.00222560900803781
no earnings in hold,put_hedged,98,-0.0008492690742498315,0.030143318354079383,-0.2789120561180449,-0.09480365678192315,0.10008152193553194,-0.02817437231939321,-0.0022154801120322087,-0.004086863125191353
iv from call only,straddle,98,-0.01621467414569723,0.3085814500677299,-0.5201773618242648,-0.7177834825843915,0.8648847356317292,-0.0525458485665237,-0.178536808233696,-0.43869189583835044
iv from call only,call_hedged,98,0.006018696402395846,0.02529857875055377,2.355154222219551,-0.0360744820666819,0.11029767188247014,0.23790650303879624,0.00511096668435207,0.003977117573798372
iv from call only,put_hedged,98,-0.0029291860626875442,0.023883885369260085,-1.2141015646177145,-0.0717582584285986,0.06794356666003609,-0.12264277848434045,-0.003774598638492277,-0.004896908434917191
iv from put only,straddle,98,0.0149948624923159,0.2773181984326745,0.5352752403441965,-0.6147328347003987,0.6853647184858636,0.05407096460694862,-0.11449805039374705,-0.31124909598349104
iv from put only,call_hedged,98,0.0015548790008124477,0.024877974681112167,0.6187206552337609,-0.04662270770713242,0.0756230883748486,0.06250022442513946,0.0006623615911334202,-0.00047276553306141444
iv from put only,put_hedged,98,0.004500303995147264,0.022807360727419096,1.953349058912131,-0.07004169492825202,0.0758812622549698,0.19731805222587553,0.0037363525798828068,0.0027249168063212537
sort on hv level,straddle,98,-0.007906564502287041,0.4527363833595548,-0.17288426142288355,-2.150168711865201,1.2167345162827163,-0.017463947658935542,NaN,NaN
sort on hv level,call_hedged,98,-0.0021230503589367497,0.037243747679927885,-0.5643128736422217,-0.09005579125182048,0.09184166867642646,-0.05700420852332604,-0.00416732177415724,-0.006853578232478896
sort on hv level,put_hedged,98,-0.00008479692615123217,0.034420206858304596,-0.024388195705216165,-0.07848294478807809,0.11268090355550245,-0.002463579794866141,-0.0018209209649648894,-0.004089886588239167
sort on -iv level,straddle,98,-0.0020648514970018,0.5010940823481786,-0.040792712705038855,-1.4023998819158965,2.745913353425722,-0.00412068625381823,NaN,NaN
sort on -iv level,call_hedged,98,0.002340505217226146,0.037233715545100875,0.6222806187305701,-0.09493213395894401,0.10771850827635548,0.06285983504362094,0.00028092160523618404,-0.0024941820095305545
sort on -iv level,put_hedged,98,-0.0009292674843541757,0.035337018932002355,-0.2603297910846366,-0.12525065090624982,0.11652777221395136,-0.02629728008868911,-0.0027998597902999522,-0.005364214421530233
quintiles,straddle,98,-0.01151910828253974,0.2070751746014298,-0.5506857803537802,-0.527020038369014,0.5280071657158407,-0.05562766422730909,-0.08389709047909477,-0.19976971369091623
quintiles,call_hedged,98,0.0015697085115771317,0.017755391725230267,0.8751888836241669,-0.03807941429046785,0.06826581394592263,0.08840742777567609,0.0011110579756536954,0.0005183011909830615
quintiles,put_hedged,98,0.00025545618469549944,0.01710193942786997,0.14787136965285122,-0.051104256553966936,0.04897007912763672,0.014937264032124822,-0.00017791680649836827,-0.0007546635600053087
