decile,names,hv_minus_iv,hv,iv,signal,call_delta,put_delta,call_over_spot,put_over_spot,moneyness,return_1m,quoted_spread,earnings_in_hold
1,29.142857142857142,-0.08562830128831546,0.2900166194225319,0.37564492071084726,-0.2568847699520047,0.5387179482329997,-0.46145813040855427,0.04177989585264136,0.039983748763310095,0.9991681974467153,-0.006793930524435443,0.10840738101238734,0.6256692890838206
2,28.76530612244898,-0.03680465006931537,0.2907236415719787,0.3275282916412941,-0.12052932979245319,0.5401680349157983,-0.45991874859157805,0.03662858456314704,0.03475416972212439,0.9988795957508445,-0.003894346565735292,0.10692771110316765,0.4475894493378699
3,28.846938775510203,-0.017343656447235054,0.29100114736633376,0.3083448038135688,-0.06069935131037765,0.5366344598529358,-0.46334032795243746,0.03439904736641636,0.032908863829309756,0.9993071065130306,-0.0015638490635122913,0.10671822637313295,0.3640081402899633
4,28.653061224489797,-0.004916555395668447,0.30248623584820694,0.3074027912438754,-0.01727698715848645,0.5347462576645536,-0.46569692205609403,0.03418102632266765,0.03301659481716657,0.9995190299046547,0.0017639252155872574,0.10567176599081408,0.3389777418579955
5,28.642857142857142,0.006392898760931049,0.3088541799861365,0.30246128122520544,0.021159490549606735,0.537139964278823,-0.46355451407809384,0.03369586978153636,0.0323384843097677,0.9993600102727399,0.001909078186224205,0.10654704433903507,0.30500856011834854
6,28.959183673469386,0.0183706190743565,0.31831465073611,0.29994403166175354,0.058844811391825375,0.5318106559224784,-0.4681688829514578,0.03335326031971637,0.03213059167288625,0.9996669900601939,0.007517944782417157,0.10815406687094788,0.27844588946321536
7,28.744897959183675,0.03145737860660256,0.324132008368448,0.29267462976184544,0.09789741474555035,0.5296664793347409,-0.47002612794038534,0.03238149407684742,0.03157002104931374,1.0000441064729777,0.01219245958774795,0.1071769869661789,0.22340230308502185
8,28.755102040816325,0.04467847239963165,0.33531194255057806,0.29063347015094637,0.14262461554301686,0.5267633772217929,-0.47359024957321283,0.031905565718647104,0.03156920082467613,1.0003969610249643,0.012912146396920737,0.10035627460286446,0.1577074206348285
9,28.857142857142858,0.06387588237684834,0.35041306215098394,0.28653717977413556,0.19981729270263054,0.527208968099508,-0.47310214538133855,0.03147003421055805,0.031131726719871192,1.0004796146897916,0.021063648295612122,0.09502693491964259,0.10857701508409054
10,28.255102040816325,0.13282976347049028,0.4165630824272109,0.2837333189567206,0.35316682414304573,0.5262321892313617,-0.474907909935762,0.031130819561325424,0.030936253369464522,1.0006067477663796,0.02275629479297092,0.11325377913746008,0.06351312544444175
