variant,months,names_per_month,straddle_mean,straddle_t,straddle_sharpe,call_hedged_mean,call_hedged_t,call_hedged_sharpe,put_hedged_mean,put_hedged_t,put_hedged_sharpe,straddle_decile_rank_corr,straddle_cost25_mean,straddle_cost25_t,short_d1_cost25_mean,short_d1_cost25_t,straddle_cost50_mean,straddle_cost50_t,short_d1_cost50_mean,short_d1_cost50_t,straddle_cost100_mean,straddle_cost100_t,short_d1_cost100_mean,short_d1_cost100_t
baseline,98,287.6224489795918,-0.0019050835231349456,-0.06584235582789222,-0.00665108232788574,0.003301496464524214,1.302500565532892,0.13157242605537445,0.001002453485477268,0.41512365145589425,0.041933821282197664,-0.05454545454545454,-0.030618833332621782,-1.0721019251961508,-0.053649069498418,-1.4766225497603298,-0.05960312734003645,-2.1060561569139393,-0.06945249215330718,-1.8729710348554873,-0.12002569695529343,-4.259242061016575,-0.10536269299809149,-2.7101885638561876
hv 63d,98,287.6224489795918,-0.0131813263319996,-0.48629534558600596,-0.04912324807476006,0.0008705978446917732,0.3652489019326521,0.03689571076821694,-0.000471680244424727,-0.22436571387300522,-0.022664359677908946,-0.24848484848484848,-0.041601310937985345,-1.5801657852486422,-0.04408044464994822,-1.0824850670523343,-0.07040931713055433,-2.738131744206342,-0.06029430554366597,-1.4486637469008252,-0.1322177254511622,-5.291443849853195,-0.09858761882356627,-2.257367413998456
hv 21d,98,287.6224489795918,0.01674160592437954,0.5954374695716528,0.06014826750095346,0.003409339909171819,1.6417301167680607,0.16583978549212547,0.001969010029358231,0.968342104000932,0.0978173240353583,0.04242424242424243,-0.01085499186774593,-0.3934856385082266,-0.020624820169041057,-0.5081042123176717,-0.038771440353106,-1.4222235056688917,-0.03610451787430276,-0.8662594498099139,-0.09697357029886923,-3.549730718513551,-0.07101905858436736,-1.6057833552946843
"ex-earnings hv, no earnings hold",98,202.46938775510205,-0.03074779085235049,-0.8782060678274357,-0.08871220940570755,0.001566361678182183,0.45194839838069034,0.04565368246305506,-0.0006406191893671022,-0.2038704455718619,-0.02059402493534093,-0.01818181818181818,-0.0622781192763919,-1.7725475221122378,-0.09121136444816927,-1.7770944702537639,-0.09411628911654617,-2.6594867973120047,-0.10902186155788134,-2.0896105735678527,-0.16104222845893,-4.429803009049356,-0.15006866569247834,-2.778994621693035
iv vs own 12m mean,98,280.16326530612247,0.019816857435775707,0.5969736476581287,0.06030344492124736,0.0028264350613045166,1.0354419291668904,0.10459542994839842,0.0014590410357628648,0.575861257912159,0.05817077149890043,0.44242424242424244,-0.008487542096105716,-0.2608918790124397,-0.03471452237805469,-0.9741539929785943,-0.03700850129550218,-1.1567650552088227,-0.04923885035014201,-1.3578031696534498,-0.10011279349079566,-3.137307711401449,-0.08634180275834345,-2.2610337659663147
iv z-score vs own 12m,98,280.16326530612247,0.021207874019207026,0.6918987699159223,0.06989233030031135,0.003532235192007275,1.401353059402291,0.14155803587712495,0.0021821162466786124,0.8907607534320618,0.08998042416666417,0.28484848484848485,-0.007182369248602435,-0.23714146288615717,-0.05171220114278903,-1.2332840993514553,-0.03581252991051652,-1.1918901502696742,-0.06652555857991282,-1.5638695568271064,-0.09908480688939553,-3.2694791494674313,-0.10406963090028645,-2.363167183229704
rank(hv/iv) + rank(iv history),98,280.16326530612247,-0.02694861977665891,-0.9272588138678559,-0.09366728502870794,0.0013421010950923492,0.5275153492489897,0.05328709723342151,-0.00004731427516773395,-0.01983625775250082,-0.002003764624308222,0.28484848484848485,-0.054642696924536244,-1.9006761143488025,-0.06038755451234582,-1.5339004756657744,-0.08277412902909524,-2.8999786052527945,-0.07581469391169607,-1.8913711420970414,-0.1459574893891086,-5.163935119574766,-0.11531931557252294,-2.7612999197557127
"combined, ex-earnings",98,197.48979591836735,-0.029489623745501643,-0.9028439246736633,-0.09120100878426055,8.386878763903873e-6,0.0026505923938037715,0.00026775026511716154,-0.00034757104508947813,-0.11676021646682357,-0.011794562976642876,0.2606060606060606,-0.05967084637351696,-1.8190159049612737,-0.07375694363137662,-1.4464206854885733,-0.09019209158852516,-2.7265265675653856,-0.09079297883191338,-1.7524356146925917,-0.15465756000548272,-4.530768670510544,-0.13036272091458834,-2.430046342556096
"baseline, zero-delta straddle",98,287.6224489795918,0.013227009491075328,0.46108779778187264,0.04657690121913338,0.003301496464524214,1.302500565532892,0.13157242605537445,0.001002453485477268,0.41512365145589425,0.041933821282197664,0.34545454545454546,-0.01512054368325524,-0.5329914541274663,-0.03843580034237647,-1.2033323894958363,-0.04368894431876289,-1.552172675634824,-0.05381496570809381,-1.6549614326259012,-0.10312363746900743,-3.679577121274409,-0.08874902449609662,-2.6150319448654122
"baseline, exit after 3 sessions",98,287.6224489795918,-0.0022540986317072667,-0.33280501632869386,-0.03361838340841702,0.000514695918170746,0.8860254544563385,0.08950208673570993,-0.00003316035631017346,-0.061434797502861634,-0.006205851702156548,-0.5272727272727272,-0.05840877871566849,-8.462824193393072,-0.04250685004334335,-4.56137140559558,-0.1149366075309316,-15.036148023050876,-0.07285855341109537,-7.352071031863132,-0.23213535817983272,-21.62429686153424,-0.14147428553189875,-11.771029838421212
"baseline, exit after 5 sessions",98,287.6224489795918,-0.01066392003572229,-1.385853707382133,-0.13999236488891767,-0.000019690647050335044,-0.030747044624271823,-0.0031059205364668556,-0.00032120139927048686,-0.5849033619847696,-0.05908416194260578,-0.5272727272727272,-0.06629734598777956,-8.435483951565452,-0.037690777680449185,-4.124369627450617,-0.12226159149978368,-14.276194327105557,-0.06772512432519535,-6.977158933108483,-0.2380996333647124,-20.724936758647388,-0.13546048609388678,-11.47426477535442
"baseline, exit after 10 sessions",98,287.6224489795918,-0.006516388856125669,-0.4001625710916232,-0.04042252394227581,0.0012378826028699387,1.0548294389385797,0.1065538641812387,0.0002324861926179745,0.21755372159954736,0.0219762445450586,-0.45454545454545453,-0.06245684058236286,-4.067231370967001,-0.04718135356904695,-2.5324987937241676,-0.11873605738233427,-8.024618372500875,-0.07726471071986481,-3.9524466620880063,-0.23531178081927256,-15.523247979186467,-0.14518473158423145,-6.50107899131747
"baseline, exit after 15 sessions",98,287.6224489795918,-0.010671889066382688,-0.464435753775542,-0.04691509584573878,0.0020438405311579795,0.910543952123624,0.09197882901643052,0.00026597221592670697,0.14332514884838957,0.014478026380752509,0.07878787878787878,-0.06796799537065984,-3.0510129649074567,-0.06872209700464456,-2.348632652770276,-0.125596186481355,-5.714268452364929,-0.09948856252987738,-3.267102437119902,-0.24490988400883906,-10.72214210683638,-0.16895184155332138,-5.043540144073642
"ex-earnings, exit after 10",98,202.46938775510205,-0.00893034468030123,-0.5158356232596016,-0.05210726674063621,0.0012409834985232216,0.7377020372488833,0.07451915900483091,0.0004835140867517548,0.3257965200704209,0.03291041837553911,-0.296969696969697,-0.07128260190584025,-4.112619695996451,-0.05237165297453826,-2.0080206555950277,-0.13426943093119362,-7.479546690294513,-0.08751051774097587,-3.2087445923876756,-0.2672218578601169,-12.35523902674795,-0.16927052590897962,-5.501749115091996
"iv vs own 12m mean, exit after 10",98,280.16326530612247,0.0002291817330709198,0.01214451354240637,0.0012267811257210578,0.0001089137713790845,0.06871933019488718,0.006941700625628886,-0.00009524346997285406,-0.07233246058504986,-0.007306681911371061,-0.06666666666666667,-0.05526661119463189,-2.9971555818014988,-0.038565188410098705,-1.9670361945642694,-0.11110426427251276,-6.019667282795611,-0.0671264369066644,-3.2583091882327855,-0.2326504091362805,-10.709669914153132,-0.13811528443412135,-5.53313222480067
"combined, ex-earnings, exit after 10",98,197.48979591836735,-0.024939020668124853,-1.2945616564577658,-0.1307704751350537,-0.001738316211161774,-0.8950850823770377,-0.09041724735538897,-0.0011806746588806467,-0.728548588457037,-0.07359452104597973,-0.296969696969697,-0.08517970955460463,-4.320623544762159,-0.05790826099594222,-2.1536390144977755,-0.14614326996602292,-7.056125786846865,-0.09210022718411574,-3.274091727189959,-0.27538080710375545,-11.064696613070469,-0.17205202530078517,-5.402387943117382
