variant,decile,straddle,call_hedged,put_hedged
baseline,1,0.03886845328460312,-0.0006683375263443163,0.0015425487388450083
baseline,2,0.05445173980482931,0.0013053923837822122,0.0018398816847373684
baseline,3,0.014576563444913128,-0.0019096321600983541,-0.0011668881325509067
baseline,4,0.039353709206642135,0.0007870158787247745,0.0015925341395606675
baseline,5,0.009069597806258314,-0.0007220235845237848,0.00017735295189891994
baseline,6,0.03389062535568391,-0.00014467801991195487,0.0010012829541544525
baseline,7,0.058654107770739865,0.0011844304574868234,0.0016777068688020968
baseline,8,0.050164061900433314,0.0018789506035384782,0.0019176093221094919
baseline,9,0.03270312922507099,0.0011221910000894489,0.001329497132975894
baseline,10,0.03696336976146818,0.002633158938179899,0.002545002224322276
hv 63d,1,0.028931539621830517,-0.0007810552596487549,0.0011735678119594813
hv 63d,2,0.04368133933244404,0.0007850251510928736,0.002153628079354799
hv 63d,3,0.04910415191676316,0.0012300322385600609,0.0013219087131797081
hv 63d,4,0.034109741891207725,-0.0007788099653641859,-0.00020464839541572597
hv 63d,5,0.033567596623002974,0.0008416015329724875,0.0011125707598417976
hv 63d,6,0.040612840223992086,0.0006966977522467227,0.0017202563831557381
hv 63d,7,0.05676637667038682,0.0031456057879963497,0.0032419227738834408
hv 63d,8,0.04448418281335999,0.00026572471524324284,0.0005353840844177912
hv 63d,9,0.02093066442457706,-0.00011138104838061836,0.000639725404708715
hv 63d,10,0.015750213289830922,0.00008954258504301828,0.0007018875675347544
hv 21d,1,0.006101912021962534,-0.0024325795335739604,-0.0004518928808421985
hv 21d,2,0.04495147777852316,0.0006895245552305099,0.0016937787178742353
hv 21d,3,0.050532455718735325,0.0017942687626666528,0.002233038864659268
hv 21d,4,0.029282443875190748,0.00019049512967338653,0.0012655790588141096
hv 21d,5,0.03757844288791701,-0.000042609447874727314,0.00025667875614658755
hv 21d,6,0.05124374445546065,0.0014414196179968629,0.001474799202438846
hv 21d,7,0.04534143850286414,0.0007226833240900658,0.0015369786688204027
hv 21d,8,0.04951383518659288,0.0019122639995821508,0.0021050995064286044
hv 21d,9,0.030258464559901742,0.00008623745280679043,0.00072853908565095
hv 21d,10,0.02284351794634207,0.0009767603755978574,0.0015171171485160331
"ex-earnings hv, no earnings hold",1,0.07462249760555827,0.0013575506227535069,0.00320263881029372
"ex-earnings hv, no earnings hold",2,0.021076811584252036,-0.0011758849998696245,0.00024076292303769207
"ex-earnings hv, no earnings hold",3,0.008542206470470558,-0.0018502843421616961,-0.001233907225051187
"ex-earnings hv, no earnings hold",4,0.029708630894029912,-0.0006672267352815286,0.0007640700428682899
"ex-earnings hv, no earnings hold",5,0.05456242438857929,0.0006453255135462795,0.0018735590239480663
"ex-earnings hv, no earnings hold",6,0.051551778231082895,0.0023225367749653988,0.003288337493903422
"ex-earnings hv, no earnings hold",7,0.005293619976418078,-0.0011631828155172813,0.0002566609104617958
"ex-earnings hv, no earnings hold",8,0.05222136313011862,0.0009376658820744386,0.0012095514439531194
"ex-earnings hv, no earnings hold",9,0.032145259575407654,0.0013878593057280444,0.001086043009746382
"ex-earnings hv, no earnings hold",10,0.04387470675320777,0.00292391230093569,0.0025620196209266183
iv vs own 12m mean,1,0.021208275907905264,-0.001066512067590277,0.00046562535406858706
iv vs own 12m mean,2,0.04077386233449829,0.0006290082835442553,0.0007850403262099287
iv vs own 12m mean,3,0.019864945395929545,-0.0011597140880415717,-0.000012930483173372909
iv vs own 12m mean,4,0.04872571437538591,0.00027262519234241606,0.0025232570826467147
iv vs own 12m mean,5,0.03596566961476249,0.0002462241259676634,0.0005498682365829734
