date,gross_pnl,gross_vega,window,book
2018-07-02,0.0,20000.0,1m,rank
2018-07-03,-4003.0016018596175,19760.686887649652,1m,rank
2018-07-05,-420.15255817608556,19267.41515634407,1m,rank
2018-07-06,427.3556554129599,18735.06683135264,1m,rank
2018-07-09,-5127.4876345903485,19999.999999999996,1m,rank
2018-07-10,-6329.816297822392,19293.89891799894,1m,rank
2018-07-11,4334.538627646958,19481.725325874988,1m,rank
2018-07-12,-2006.2181249152811,18780.115356752543,1m,rank
2018-07-13,-3205.8458209060464,18224.57094360888,1m,rank
2018-07-16,3766.820542120616,20000.0,1m,rank
2018-07-17,-3748.6544213509032,19388.670213785543,1m,rank
2018-07-18,-5811.802996344794,18683.63814171825,1m,rank
2018-07-19,-3610.174717251205,18592.362350065076,1m,rank
2018-07-20,1970.8702944789463,18249.029506721305,1m,rank
2018-07-23,-852.8219025398075,20000.0,1m,rank
2018-07-24,-12860.53590598051,19615.540284482493,1m,rank
2018-07-25,-4836.200986634715,18216.45900590619,1m,rank
2018-07-26,7403.957323307653,17624.561571849223,1m,rank
2018-07-27,-7630.641146108537,16774.35504201238,1m,rank
2018-07-30,-13431.85918512884,20000.0,1m,rank
2018-07-31,-7403.208756764148,19348.455996693752,1m,rank
2018-08-01,1568.1801018653891,19080.339413625086,1m,rank
2018-08-02,-3767.730465979689,18476.8062516117,1m,rank
2018-08-03,-453.38977406911783,17875.340630100498,1m,rank
2018-08-06,-679.1972120041361,20000.0,1m,rank
2018-08-07,4507.223848736428,19573.807645376237,1m,rank
2018-08-08,-5688.121084369938,19290.75271762197,1m,rank
2018-08-09,-5049.379328454802,18765.55697759105,1m,rank
2018-08-10,3930.41122625349,18940.337539517124,1m,rank
2018-08-13,5169.545408654101,20000.0,1m,rank
2018-08-14,-7779.995009872705,19477.8392964798,1m,rank
2018-08-15,1379.5374788372994,19046.046795825954,1m,rank
2018-08-16,-2064.9710845407226,18195.726626114905,1m,rank
2018-08-17,-4911.317664194443,17477.683893373964,1m,rank
2018-08-20,-1107.2935496962104,20000.0,1m,rank
2018-08-21,-6940.197813530026,20442.384499079777,1m,rank
2018-08-22,1462.1617859723428,19752.528041704714,1m,rank
2018-08-23,-4565.321502515613,19795.63626970584,1m,rank
2018-08-24,-137.94289352422314,18825.90096890733,1m,rank
2018-08-27,-6625.191278796609,20000.0,1m,rank
2018-08-28,-9498.554048879298,18704.267236484204,1m,rank
2018-08-29,4746.316036158799,20049.437938590694,1m,rank
2018-08-30,1517.3424449721808,20404.23475792768,1m,rank
2018-08-31,8491.855009736351,19348.650157986245,1m,rank
2018-09-04,2745.831391894704,20000.0,1m,rank
2018-09-05,1818.8000815208154,19639.26043940967,1m,rank
2018-09-06,2061.0260246307244,19339.764123666366,1m,rank
2018-09-07,-6647.535423965981,18865.474409187078,1m,rank
2018-09-10,4641.307924433656,20000.0,1m,rank
2018-09-11,180.2023970113991,19719.7186476377,1m,rank
2018-09-12,-153.75629460507457,19272.564583284457,1m,rank
2018-09-13,-2301.944847541493,18755.52049723369,1m,rank
2018-09-14,-2382.6427977084963,18329.74161097894,1m,rank
2018-09-17,2444.503623087792,20000.0,1m,rank
2018-09-18,-7631.614224009739,19493.61902312917,1m,rank
2018-09-19,6970.746594893787,18987.72616095048,1m,rank
2018-09-20,-9856.213479912545,18336.084798891363,1m,rank
2018-09-21,12722.548505569463,17805.29897662404,1m,rank
2018-09-24,-8236.289040851849,20000.0,1m,rank
2018-09-25,-1527.8193629691502,19510.702469230026,1m,rank
2018-09-26,3238.638350389483,18667.167523928394,1m,rank
2018-09-27,-2702.2780910260676,17821.620541566994,1m,rank
2018-09-28,-5800.002887853636,17446.774563228017,1m,rank
2018-10-01,5418.412695339905,20000.0,1m,rank
2018-10-02,-1227.8673016117018,19676.211526703042,1m,rank
2018-10-03,339.6383574383687,19372.061271338658,1m,rank
2018-10-04,1940.4487126040995,19056.84711411122,1m,rank
2018-10-05,2411.145721539145,18629.844193071905,1m,rank
2018-10-08,-1888.4532106036359,19950.899031811896,1m,rank
2018-10-09,-785.627529184666,19369.378887800875,1m,rank
2018-10-10,-2129.151703878569,18662.756747083175,1m,rank
2018-10-11,-2125.9298975958445,17876.208717257236,1m,rank
2018-10-12,4309.971044143725,18074.040694034546,1m,rank
2018-10-15,-6956.843846366475,20000.0,1m,rank
2018-10-16,-11705.542264023403,21829.97593515924,1m,rank
2018-10-17,-5228.384423542764,21358.339194988388,1m,rank
2018-10-18,8609.606646176127,19874.414919500352,1m,rank
2018-10-19,1902.5827717593286,19858.74228753391,1m,rank
2018-10-22,7117.922923267827,20000.0,1m,rank
2018-10-23,-21686.73028832921,22308.268655929824,1m,rank
2018-10-24,-10368.503513589501,23434.325928038023,1m,rank
2018-10-25,4627.98514850975,24757.328647680424,1m,rank
2018-10-26,-3765.916836092384,25103.16601599657,1m,rank
2018-10-29,12104.213349389682,20000.0,1m,rank
2018-10-30,-7482.012831732926,19666.457441261424,1m,rank
2018-10-31,-32682.003771695436,19564.956805658738,1m,rank
2018-11-01,-5989.857248078014,18970.558595418166,1m,rank
2018-11-02,-107.81373973753097,18664.923297920403,1m,rank
2018-11-05,-2026.8194199034544,20000.0,1m,rank
2018-11-06,-2391.693728024508,19128.70288625564,1m,rank
2018-11-07,-3191.5072453872162,17457.964002950466,1m,rank
2018-11-08,673.7151360043088,17318.003255087715,1m,rank
2018-11-09,-4996.35428095338,18121.32782809181,1m,rank
2018-11-12,-4351.055861303466,19917.01244813278,1m,rank
2018-11-13,-12615.6670739533,19633.576922237862,1m,rank
2018-11-14,552.7085700482415,19767.914090345203,1m,rank
2018-11-15,-1544.1612906041014,19005.36232561212,1m,rank
2018-11-16,1181.2927301491616,18168.069273040634,1m,rank
2018-11-19,5320.727993959028,20000.0,1m,rank
2018-11-20,-8258.254309236318,21472.202935410503,1m,rank
2018-11-21,-8012.037345554585,20953.63315781263,1m,rank
2018-11-23,4016.5320798418093,20242.01756741156,1m,rank
2018-11-26,-388.9532257361236,20000.0,1m,rank
2018-11-27,-1120.8296191173245,19323.45462515202,1m,rank
2018-11-28,6974.202598999084,18809.400430977494,1m,rank
2018-11-29,-1971.6632373946702,19051.13015647505,1m,rank
2018-11-30,-2612.9155642751252,18078.575788398266,1m,rank
2018-12-03,750.4591841622982,20000.0,1m,rank
2018-12-04,-2351.094904562863,19031.51816528779,1m,rank
2018-12-06,4182.898900293209,18279.859964025505,1m,rank
2018-12-07,1806.6065353090833,16946.976776638814,1m,rank
2018-12-10,-15129.687390674924,20000.0,1m,rank
2018-12-11,-1494.1424950341668,19625.060122752893,1m,rank
2018-12-12,-14444.04099142431,19769.448990808894,1m,rank
2018-12-13,-1669.0742284339833,18969.943614074793,1m,rank
2018-12-14,997.9069484672243,18163.958443752344,1m,rank
2018-12-17,-5569.70263623127,20000.0,1m,rank
2018-12-18,-13674.550639447858,19880.83457692852,1m,rank
2018-12-19,774.0945645193419,19677.995305971683,1m,rank
2018-12-20,-810.0557621980454,21232.502661754363,1m,rank
2018-12-21,4539.359330436369,22049.319589166007,1m,rank
2018-12-24,3043.4804410710813,20000.0,1m,rank
2018-12-26,-36651.61306048567,23613.17688614955,1m,rank
2018-12-27,10836.462740563276,23677.71514268299,1m,rank
