decile,gross_fwd_pnl_per_vega,net_fwd_pnl_per_vega,gross_t_stat,mean_names,dates,window
1,1.5316777808513369,-28.171757467557253,4.526218226884627,48.364618885096704,1758,1m
2,2.1088633175233404,-20.867308104184808,6.52652139505015,48.82366325369738,1758,1m
3,1.835813503124269,-18.799427285401897,5.823325681396231,48.76848691695108,1758,1m
4,1.95703810007187,-17.454285468653673,6.189725180052327,48.83560864618885,1758,1m
5,1.8861858328561811,-16.59318388830909,6.161642211490823,49.00056882821388,1758,1m
6,1.9002005104412991,-16.482460089470354,6.16418571633794,48.58703071672355,1758,1m
7,1.9890822033045523,-16.78425809739318,6.405138025325686,48.773606370875996,1758,1m
8,2.0559751265976374,-17.39907674751402,6.71213765839374,48.83048919226393,1758,1m
9,2.312924448647353,-18.59708760272656,7.505149825929833,48.761660978384526,1758,1m
10,2.0061657286846795,-26.535753871463786,6.123719934214336,49.25938566552901,1758,1m
1,2.1155437882068315,-25.956876368686807,6.377949340555862,48.025597269624576,1758,3m_skip1m
2,2.4650167813887087,-20.271574694354303,7.590377734203344,48.47155858930603,1758,3m_skip1m
3,2.7432550650049357,-18.541261633162165,8.468155478227388,48.33560864618885,1758,3m_skip1m
4,2.341028142956634,-17.59448843555018,7.470952840913817,48.57963594994312,1758,3m_skip1m
5,1.939191470205141,-17.05565920249106,6.178670873798815,48.51592718998862,1758,3m_skip1m
6,1.7461592634141327,-16.67344245924133,5.742635782104687,48.30034129692833,1758,3m_skip1m
7,1.6969916950671569,-16.84737509162393,5.552995143471815,48.45278725824801,1758,3m_skip1m
8,1.7338022884995519,-17.561570733635563,5.489587092298707,48.46245733788396,1758,3m_skip1m
9,1.5577454192440874,-19.28083672543741,5.076415444801652,48.34470989761092,1758,3m_skip1m
10,1.1174846983791515,-26.930101757136786,3.537919085098043,48.90841865756541,1758,3m_skip1m
1,2.542495581880593,-26.103364085724106,7.795978330393542,47.75028441410694,1758,6m_skip1m
2,2.6276825852108363,-20.645128883944913,7.868741561345097,48.15301478953356,1758,6m_skip1m
3,2.2582428122041995,-18.51874372136679,6.9583741175086296,48.12002275312855,1758,6m_skip1m
4,2.3421694740618753,-18.250810654060963,7.247562049955129,48.2514220705347,1758,6m_skip1m
5,2.0807608113688816,-17.726433302426223,6.70028033147776,48.29977246871445,1758,6m_skip1m
6,1.9909359387775927,-17.04742375172375,6.403803772026686,47.99886234357224,1758,6m_skip1m
7,1.7271948653110785,-17.084283281701424,5.443512877418892,48.15301478953356,1758,6m_skip1m
8,1.6803952891900227,-17.06753808704492,5.499129487205802,48.218430034129696,1758,6m_skip1m
9,1.4685087562703218,-18.463792269221255,4.799044823724727,48.05460750853242,1758,6m_skip1m
10,0.7408337162084663,-25.212904575526217,2.5053078806243394,48.61945392491467,1758,6m_skip1m
1,2.287025659983945,-24.643175913689614,6.7746473963545695,46.996587030716725,1758,12m_skip1m
2,2.6073757307416763,-21.85100869450115,7.718158318000913,47.425483503981795,1758,12m_skip1m
3,2.288204059276874,-20.21862205672594,7.0697155153723585,47.329351535836174,1758,12m_skip1m
4,2.4005164743713485,-18.274811107257122,7.702606131674659,47.4806598407281,1758,12m_skip1m
5,2.2556481130145416,-17.656233396267666,7.208274382676601,47.5773606370876,1758,12m_skip1m
6,2.04020965051942,-17.064019289493523,6.364309979786497,47.27929465301479,1758,12m_skip1m
7,1.7040331431939215,-17.04084615044806,5.424128486759958,47.41467576791809,1758,12m_skip1m
8,1.6151275647638226,-17.81835309187837,5.293696618964481,47.39533560864619,1758,12m_skip1m
9,1.4375103039181136,-18.19915577119975,5.0407381184367805,47.359499431171784,1758,12m_skip1m
10,0.7234625358367454,-23.309885834195924,2.363230420775694,47.881683731513085,1758,12m_skip1m
1,2.3206212883075903,-25.504474449403766,6.953556963536956,47.36803185437998,1758,12m_noskip
2,2.6999845287807465,-22.408189522447014,7.779526894573792,47.79522184300341,1758,12m_noskip
3,2.2496792217358252,-20.034643296825415,6.968776675790501,47.72354948805461,1758,12m_noskip
4,2.105268691356058,-18.392186212258142,6.816380577021159,47.89135381114903,1758,12m_noskip
5,2.0741299814101284,-17.654071465323867,6.626629001968674,47.93856655290102,1758,12m_noskip
6,2.0149181452405607,-16.962138428862577,6.265890238860268,47.63936291240046,1758,12m_noskip
7,1.8349876061144608,-16.56633850526696,5.971043575464883,47.81854379977247,1758,12m_noskip
8,1.804740389005727,-17.07015300388115,5.845414920294462,47.79635949943117,1758,12m_noskip
9,1.6249005278839757,-17.861801893973304,5.60029828724326,47.72241183162685,1758,12m_noskip
10,0.7045490900046341,-23.360861260663334,2.35851268699339,48.25995449374289,1758,12m_noskip
