date,gross_pnl,gross_vega,window,book
2018-07-02,0.0,20000.0,1m,rank
2018-07-03,-6804.818779925466,19756.691398729115,1m,rank
2018-07-05,856.5843498301396,19228.359377298133,1m,rank
2018-07-06,3731.0282050111646,18688.609800989074,1m,rank
2018-07-09,-2049.4950460459436,20000.0,1m,rank
2018-07-10,-4635.458751360159,19426.01927295245,1m,rank
2018-07-11,4284.1248877540775,19504.51004374918,1m,rank
2018-07-12,-1041.8459895869155,18825.367440218903,1m,rank
2018-07-13,-1798.034836505805,18246.043879350273,1m,rank
2018-07-16,3534.5303937150366,20000.0,1m,rank
2018-07-17,-2339.675349222972,19334.050014792916,1m,rank
2018-07-18,-5898.645104648599,18590.89884798419,1m,rank
2018-07-19,-4667.772577811361,18615.851427380992,1m,rank
2018-07-20,2631.77843022284,18206.14796894797,1m,rank
2018-07-23,-2626.057299230781,20000.0,1m,rank
2018-07-24,-12595.152011443282,19277.667160210098,1m,rank
2018-07-25,-592.5594048042062,17847.16068283841,1m,rank
2018-07-26,107.69742633118089,17179.347120952556,1m,rank
2018-07-27,-6820.088776702031,16340.928688698676,1m,rank
2018-07-30,-6096.511526909205,20000.0,1m,rank
2018-07-31,-6087.895610154848,19382.63643302932,1m,rank
2018-08-01,1285.2162219169243,19111.014506012583,1m,rank
2018-08-02,-4373.922179735435,18552.68585522971,1m,rank
2018-08-03,1254.0153978732772,17982.269853931703,1m,rank
2018-08-06,41.12940603101394,20000.0,1m,rank
2018-08-07,1087.6722811109605,19549.042671209267,1m,rank
2018-08-08,-3292.7576078789984,19312.30519942086,1m,rank
2018-08-09,-3849.6658755206104,18795.85701276163,1m,rank
2018-08-10,3047.861703785087,19022.183706911128,1m,rank
2018-08-13,2044.1592558627588,20000.0,1m,rank
2018-08-14,-6458.279838448806,19502.290486113106,1m,rank
2018-08-15,1968.211010655452,19086.576352647397,1m,rank
2018-08-16,-4149.19238251278,18148.095132309405,1m,rank
2018-08-17,-2648.3999513496933,17462.613738748933,1m,rank
2018-08-20,-2712.474063428951,20000.0,1m,rank
2018-08-21,-5288.884846184519,20186.826248376074,1m,rank
2018-08-22,-1901.7522454320801,19903.51455482295,1m,rank
2018-08-23,994.8388482451743,19677.248270847485,1m,rank
2018-08-24,-3471.7238201274486,18941.233059502836,1m,rank
2018-08-27,-3365.952256125712,20000.0,1m,rank
2018-08-28,-5255.73175799453,18634.39758714228,1m,rank
2018-08-29,2258.284034508863,18211.51351134537,1m,rank
2018-08-30,1846.6656753737454,18643.776408274065,1m,rank
2018-08-31,8094.781923787352,17642.83948291997,1m,rank
2018-09-04,-3522.542611095039,20000.0,1m,rank
2018-09-05,1303.7789645657665,19576.972650511307,1m,rank
2018-09-06,1511.7911064048608,19273.12192033071,1m,rank
2018-09-07,-5020.808895026847,18859.402211524506,1m,rank
2018-09-10,5120.614215491225,20000.0,1m,rank
2018-09-11,-638.7323909231857,19699.01920286136,1m,rank
2018-09-12,-1093.6335314746814,19204.83887305356,1m,rank
2018-09-13,-1326.493518743812,18664.472124998654,1m,rank
2018-09-14,-2223.6000926940824,18251.45259144304,1m,rank
2018-09-17,1012.7473632443034,20000.0,1m,rank
2018-09-18,-7140.3518197605235,19431.825394909265,1m,rank
2018-09-19,5140.4523548601455,18929.6799992595,1m,rank
2018-09-20,-6868.541765415583,18268.391021546373,1m,rank
2018-09-21,8879.222000471176,17673.029293457414,1m,rank
2018-09-24,-9778.092802079555,20000.0,1m,rank
2018-09-25,-2297.3184498530877,19521.519601151846,1m,rank
2018-09-26,3370.3655600239,18629.344851300084,1m,rank
2018-09-27,-3010.324799225559,17779.359608210387,1m,rank
2018-09-28,-5276.770303049816,17451.671201532652,1m,rank
2018-10-01,2876.1419040063847,20000.0,1m,rank
2018-10-02,-2096.7496218178253,19749.35077378688,1m,rank
2018-10-03,724.6187394561258,19416.46298775907,1m,rank
2018-10-04,1892.8924608424675,19138.035120931814,1m,rank
2018-10-05,1440.2385649828864,18733.340998164786,1m,rank
2018-10-08,-1886.9875325109692,19962.381852551982,1m,rank
2018-10-09,-306.6520812913729,19384.03614445885,1m,rank
2018-10-10,-3834.3088603589804,18669.74322452292,1m,rank
2018-10-11,277.9356508379866,17670.3340980825,1m,rank
2018-10-12,4608.47641992249,17859.814657705494,1m,rank
2018-10-15,-5282.60286924131,20000.0,1m,rank
2018-10-16,-10572.616137273037,22005.275898334763,1m,rank
2018-10-17,-5226.327275493771,21557.415898809973,1m,rank
2018-10-18,6167.453607946688,19975.16488607036,1m,rank
2018-10-19,3968.578267103978,19854.435814599365,1m,rank
2018-10-22,5187.0378852866625,20000.0,1m,rank
2018-10-23,-17969.388205184783,22621.364216850823,1m,rank
2018-10-24,-6173.94156627585,24072.12532651044,1m,rank
2018-10-25,3690.2065421694956,25408.322831452006,1m,rank
2018-10-26,-609.6697799058952,25738.584037365534,1m,rank
2018-10-29,12343.237733094442,20000.0,1m,rank
2018-10-30,-8234.886248910338,19654.260269157105,1m,rank
2018-10-31,-33732.13521394474,19603.888669902637,1m,rank
2018-11-01,-6064.240372179824,19116.251728776257,1m,rank
2018-11-02,269.4823849493447,18838.44678932243,1m,rank
2018-11-05,-1790.723598359352,20000.0,1m,rank
2018-11-06,-2367.8999260531486,19145.008095387235,1m,rank
2018-11-07,-1714.4737366379347,17239.420595023683,1m,rank
2018-11-08,373.1717378217816,17092.596259190675,1m,rank
2018-11-09,-3725.9028149696715,17883.85628572116,1m,rank
2018-11-12,-5638.540780612624,19920.637934307957,1m,rank
2018-11-13,-5754.165595956789,19494.43231634507,1m,rank
2018-11-14,947.5342342723935,19665.388379593936,1m,rank
2018-11-15,204.33370634840873,18859.817997029113,1m,rank
2018-11-16,3583.595171487484,18000.91543088008,1m,rank
2018-11-19,4272.392504854404,20000.0,1m,rank
2018-11-20,-12405.900663765138,21655.419958471066,1m,rank
2018-11-21,-4792.617862896363,21027.988763247584,1m,rank
2018-11-23,2798.026536551669,20411.03177231948,1m,rank
2018-11-26,1563.1543577449654,20000.0,1m,rank
2018-11-27,-1767.7835166122522,19383.312291683556,1m,rank
2018-11-28,7544.302954471603,18725.91105422167,1m,rank
2018-11-29,-1933.9861853974066,19053.376623527856,1m,rank
2018-11-30,-4038.587956380483,18014.36136747311,1m,rank
2018-12-03,132.5513551627178,20000.0,1m,rank
2018-12-04,-4328.585313201744,18861.32398649475,1m,rank
2018-12-06,1931.7917788539876,18128.58897920303,1m,rank
2018-12-07,1365.3760763305033,16718.32963807381,1m,rank
2018-12-10,-9115.305077902525,20000.0,1m,rank
2018-12-11,-3592.3197866526857,19593.829957631482,1m,rank
2018-12-12,-5924.178104449047,19702.4138785706,1m,rank
2018-12-13,-1537.2793268776277,18982.396908205203,1m,rank
2018-12-14,3749.5047157397357,18207.658535383573,1m,rank
2018-12-17,-4900.024381825865,20000.0,1m,rank
2018-12-18,-10491.440731754888,19781.399057552644,1m,rank
2018-12-19,1781.0254150537958,19533.81813404067,1m,rank
2018-12-20,3081.569176211783,21064.846782284978,1m,rank
2018-12-21,2013.9694363184092,22097.96470432689,1m,rank
2018-12-24,2193.5298936375766,20000.0,1m,rank
2018-12-26,-41592.253446672476,23676.286319448212,1m,rank
2018-12-27,9108.774658678647,23773.16140936082,1m,rank
2018-12-28,5286.850463432667,22743.235998440046,1m,rank
2018-12-31,-6132.914270217536,19955.569115768198,1m,rank
2019-01-02,-3398.3644980712156,19387.385228360396,1m,rank
2019-01-03,1027.8872174053622,19033.064766509997,1m,rank
2019-01-04,-679.2898629885226,18880.48225229998,1m,rank
2019-01-07,-1833.4891787630445,20000.0,1m,rank
2019-01-08,66.12286450794744,19341.678004477617,1m,rank
2019-01-09,-574.8918368791872,18670.323868114087,1m,rank
2019-01-10,-3589.534538591824,18007.480606848552,1m,rank
2019-01-11,-279.2750523302896,17542.123934808955,1m,rank
2019-01-14,292.4616090815331,20000.0,1m,rank
2019-01-15,-8903.563031016007,19103.391107232972,1m,rank
2019-01-16,-2443.6481331775794,18808.580571559425,1m,rank
2019-01-17,740.9796145415736,18591.130863818395,1m,rank
2019-01-18,3061.935100616589,17788.747484142175,1m,rank
2019-01-22,-10730.492447193034,20000.0,1m,rank
2019-01-23,-19877.790415828367,20026.326069320705,1m,rank
2019-01-24,24120.36396319064,20030.482610952804,1m,rank
2019-01-25,-7830.605880392929,19058.52561528218,1m,rank
2019-01-28,-12138.148771795715,20000.0,1m,rank
2019-01-29,-1853.4433290103248,19900.499095765634,1m,rank
2019-01-30,297.4637542460551,19416.500958716715,1m,rank
2019-01-31,-7046.012383542346,18763.636958264884,1m,rank
2019-02-01,-3227.1498541332776,18475.958534697253,1m,rank
2019-02-04,-2450.0897032632924,20000.0,1m,rank
2019-02-05,-1292.4985609606645,19326.283076348165,1m,rank
2019-02-06,923.5660059021377,19262.314488511693,1m,rank
2019-02-07,-8591.385523375606,19166.680722025707,1m,rank
2019-02-08,437.62590225640014,18800.925741246327,1m,rank
2019-02-11,-201.61542354008768,20000.0,1m,rank
2019-02-12,-367.81846406350246,19357.96452640457,1m,rank
2019-02-13,-8447.551048556294,18530.92144133647,1m,rank
2019-02-14,-468.65706944005103,18564.620196612796,1m,rank
2019-02-15,-2360.3532649143167,17655.162846645988,1m,rank
2019-02-19,2598.2901786669263,20000.0,1m,rank
2019-02-20,-1450.606978866487,19081.826833004456,1m,rank
2019-02-21,-17535.55656144624,18621.432514415115,1m,rank
2019-02-22,8441.808763733845,17370.057540328653,1m,rank
2019-02-25,-8670.91719297112,20000.0,1m,rank
2019-02-26,-2579.4674430282917,19677.49598604227,1m,rank
2019-02-27,-229.03874511643238,19247.52143153632,1m,rank
2019-02-28,1019.7630202685768,18917.12362416091,1m,rank
2019-03-01,-2377.682045972222,18530.545621168778,1m,rank
2019-03-04,-742.1376359291847,20000.0,1m,rank
2019-03-05,1752.1215102752558,19569.184173014826,1m,rank
2019-03-06,-4621.253107914216,19246.49835037402,1m,rank
2019-03-07,3116.8824355720544,18717.32362340432,1m,rank
2019-03-08,224.3399640382733,18515.196760729435,1m,rank
2019-03-11,-4128.212364345417,20000.0,1m,rank
2019-03-12,-231.19363626399291,19919.20548563774,1m,rank
2019-03-13,758.0812685071404,19550.908245248283,1m,rank
2019-03-14,-1956.2443023224298,18996.44030269112,1m,rank
2019-03-15,-2521.386385660613,18257.712904435302,1m,rank
2019-03-18,-1758.596122910224,20000.0,1m,rank
2019-03-19,-1020.6224274186011,20006.92311464577,1m,rank
2019-03-20,-2581.858235128072,19083.88615328329,1m,rank
2019-03-21,3548.205910645725,18227.75500658444,1m,rank
2019-03-22,-561.4747088621493,18641.392572197943,1m,rank
2019-03-25,-918.1500241796184,20000.0,1m,rank
2019-03-26,-7975.177083584511,19879.66239650532,1m,rank
2019-03-27,-4336.4477268455,19225.565944745827,1m,rank
2019-03-28,-1326.555940022671,18934.899749855682,1m,rank
2019-03-29,5815.5444694690095,43426.39536654695,1m,rank
2019-04-01,6056.037669064958,20000.0,1m,rank
2019-04-02,-2554.6564358771907,19691.508566307846,1m,rank
2019-04-03,-602.1426757215072,19151.925642900984,1m,rank
