decile,gross_fwd_pnl_per_vega,net_fwd_pnl_per_vega,gross_t_stat,mean_names,dates,window
1,1.4603592259419818,-19.12631631874704,4.55822331949454,47.29579067121729,1758,1m
2,1.9124596459438497,-20.052155778544638,5.939272076754172,47.71558589306029,1758,1m
3,1.9820929724555814,-20.817823110597867,6.149321657257441,47.640500568828216,1758,1m
4,1.9350421371270483,-21.014279490784592,6.142907491956071,47.803185437997726,1758,1m
5,1.9420239591256618,-21.042522663221614,6.182821398832971,47.877133105802045,1758,1m
6,1.985890037059701,-20.706378759241794,6.456996248955094,47.5608646188851,1758,1m
7,2.110995336609133,-19.938742173476204,6.7059742687737085,47.74118316268487,1758,1m
8,1.9930103119311207,-18.931715925381106,6.484319741321123,47.70250284414107,1758,1m
9,2.0820000990573484,-17.787751454550335,6.708122088802073,47.653583617747444,1758,1m
10,1.9696654325704417,-16.42308446957236,6.178520036730222,48.183731513083046,1758,1m
1,1.954665354519746,-18.598840908755744,6.14703071353388,46.13310580204778,1758,3m_skip1m
2,2.4019533722650896,-18.88482103226882,7.408626046746715,46.59783845278726,1758,3m_skip1m
3,2.712668177531741,-19.958189547736733,8.241377021821231,46.49032992036405,1758,3m_skip1m
4,2.4881373679461696,-21.280395155475265,7.880205031036503,46.61490329920364,1758,3m_skip1m
5,1.941572578977472,-21.550333411705484,6.102479341450594,46.66325369738339,1758,3m_skip1m
6,1.8797914457525255,-21.080821970889705,5.995477563300076,46.448236632536975,1758,3m_skip1m
7,1.7487911091988895,-20.661683026433373,5.486201368509115,46.54835039817975,1758,3m_skip1m
8,1.5914595609841296,-19.5293796050974,5.0933668386418125,46.556882821387944,1758,3m_skip1m
9,1.3436388225607545,-18.612485984559214,4.4565984500227485,46.53128555176337,1758,3m_skip1m
10,1.287191288659677,-16.735694238934684,4.146579685097152,46.97212741751991,1758,3m_skip1m
1,2.6378158975630246,-19.35310720703721,7.986845859529142,45.165529010238906,1758,6m_skip1m
2,2.2600275339980875,-19.035144312535174,7.191896970296965,45.71046643913538,1758,6m_skip1m
3,2.399474265964207,-19.38438043910276,7.501939024590635,45.63424345847554,1758,6m_skip1m
4,2.4165028528382497,-21.63950802710727,7.227642347485989,45.6740614334471,1758,6m_skip1m
5,2.089445272244383,-22.332912606922925,6.594568017981577,45.779863481228666,1758,6m_skip1m
6,2.0345654384401506,-21.92080341149487,6.216651849123497,45.49544937428897,1758,6m_skip1m
7,1.9555970222545147,-20.589411310569552,6.076856377901365,45.60864618885097,1758,6m_skip1m
8,1.5278990573226705,-19.62440610919796,4.9781375139169155,45.69965870307167,1758,6m_skip1m
9,1.2020103278068193,-17.594340008920916,3.9650205668829046,45.64505119453925,1758,6m_skip1m
10,0.9438462661186141,-16.25189539753746,3.265134915150997,46.00796359499431,1758,6m_skip1m
1,2.4695577235758748,-17.796984279755613,7.451970598433426,43.60218140068886,1742,12m_skip1m
2,2.1862994687168085,-20.22203015959157,6.421343215578373,44.298507462686565,1742,12m_skip1m
3,2.5117377046038594,-20.630062278591502,7.826388219940156,44.12686567164179,1742,12m_skip1m
4,2.3287069778073466,-21.78194002879916,7.077491370821862,44.23191733639495,1742,12m_skip1m
5,2.276793011343126,-22.58915684678985,6.881326557004341,44.33926521239954,1742,12m_skip1m
6,2.3125282405125036,-22.754444619452716,6.911470288322454,43.9345579793341,1742,12m_skip1m
7,2.0035903585061767,-21.22646346797358,6.131886361535847,44.15556831228473,1742,12m_skip1m
8,1.487473955682315,-18.99248205832739,4.905250068568873,44.20321469575201,1742,12m_skip1m
9,0.9565372440126804,-17.93856051936713,3.300679217344738,44.22215843857635,1742,12m_skip1m
10,0.8728253956862514,-15.791607016088712,3.004494193745282,44.53559127439724,1742,12m_skip1m
1,2.563995996119624,-18.18436483624391,7.670972813471054,43.88623435722412,1758,12m_noskip
2,2.2163211008047163,-20.55437826238379,6.65295355962133,44.53697383390216,1758,12m_noskip
3,2.33140877033684,-20.79815498939303,7.463063139240715,44.484641638225256,1758,12m_noskip
4,2.07356507006252,-21.85472867696869,6.4257955774310505,44.44994311717861,1758,12m_noskip
5,1.9963038610540105,-22.852634212566997,6.005931785197968,44.63765642775882,1758,12m_noskip
6,2.4025391484970138,-22.394453287790718,7.0372962341244785,44.24630261660978,1758,12m_noskip
7,1.9966805191440957,-20.574476080924093,6.18485459811187,44.40841865756541,1758,12m_noskip
8,1.479465139593217,-18.552502193355856,5.202570690544045,44.526166097838455,1758,12m_noskip
9,1.1688704915486847,-17.83338793541838,4.024116229553091,44.49544937428897,1758,12m_noskip
10,1.0453148220714812,-15.424977644746319,3.5536902150833947,44.80204778156997,1758,12m_noskip
