window,sessions,skip,signal_rows,spread,spread_t_naive,spread_t_overlap_adj,decile_1,decile_10,rank_gross_pnl,rank_sharpe,rank_max_drawdown,rank_turnover,rank_positions,rank_market_loading,rank_market_t,rank_intercept_t,mvo_gross_pnl,mvo_sharpe,mvo_max_drawdown,mvo_turnover,mvo_positions,mvo_market_loading,mvo_market_t,mvo_intercept_t,rank_net_pnl_full_cost,rank_net_sharpe_full_cost,rank_cost_total,version
1m,21,0,976373,0.4550153358786835,4.0111697333869065,0.5178397858739577,1.5550850622286045,2.0101003981072876,-2739974.7546635005,-3.4871165039787457,-2742732.848456322,53.57164420393576,488.18998862343574,0.033072816688059475,3.8917060871871243,-9.370173078576444,-5610942.7892406555,-1.9763484871162242,-5612134.42150112,45.09288988918505,488.6905574516496,-0.031768502613748535,-1.0391698743645943,-5.014562392040752,-44811947.916123554,-7.079026899879532,42071973.16146006,residual
3m_skip1m,63,21,949015,-0.9953130216112741,-10.591098969279617,-1.36730499753515,2.109694724076837,1.1143817024655627,304390.72493618855,0.5081392989748044,-88950.95390192948,39.39524208054558,485.83731513083046,0.027956861821764902,4.177371172479099,1.1297825893648898,513384.4352286049,0.2380355429053148,-703326.9837062198,32.70882730883254,486.35494880546077,0.019146242080473358,0.7958092805030436,0.5792422242480464,-34303845.867174745,-6.100242950539665,34608236.59211093,residual
6m_skip1m,126,21,928393,-1.8091934450103628,-18.778241633277172,-2.4242605705580416,2.54901919021293,0.7398257452025689,494493.26557363244,0.7900047245472857,-129267.17151156603,34.46856326239294,483.53526734926055,0.027596502920630924,4.111794573461239,1.990952465687897,1201411.1403920562,0.5565554266936563,-269339.85133117635,28.861533944181893,484.09670079635947,0.0029336121381887065,0.12172160964923329,1.4818381821590667,-31663617.64719487,-5.806807601847908,32158110.9127685,residual
12m_skip1m,252,21,888409,-1.582487392841199,-15.76602478844445,-2.035385048051289,2.306451349887548,0.7239639570463491,507834.787756573,0.8155545077099199,-102919.86983010636,31.023339911089895,475.87144482366324,0.043396974423560754,6.443888254402038,1.9551967505007675,504051.6265697926,0.24019954539477167,-543703.0138844927,26.812273733981733,476.3794084186576,0.016479962590953978,0.6845810366271783,0.5652558167026018,-29697184.57881736,-5.697274918823763,30205019.36657393,residual
12m_noskip,252,0,901669,-1.6593085021747496,-15.537916959946852,-2.0059364540209312,2.3493006574508946,0.6899921552761453,-398606.5444457765,-0.5768926548647431,-400663.07077463745,30.709656526073918,480.43060295790673,0.04529592133174379,6.171182133245165,-1.6705133203666815,-815608.5612784834,-0.3686497194280729,-1274097.2326937017,26.788670956350565,481.0273037542662,-0.02635323957108715,-1.058609666139414,-0.8274046444750274,-30951144.359962493,-5.761304298085048,30552537.815516718,residual
1m,21,0,895945,0.4940835857867644,5.1884206815657885,0.6698222297607478,1.4719718965940716,1.9660554823808356,-2288545.542189474,-3.44002687782572,-2291554.4969960917,53.34623099821449,479.4596131968146,0.02467634340576156,3.421055987490154,-9.275783498156976,-2863053.2825301345,-1.4264937535076587,-2911983.8049091687,39.480712190815055,480.10978384527874,0.00010262740551338911,0.004728523784204276,-3.7968461258045005,-39044006.500991315,-6.954496017708554,36755460.95880185,scaled
3m_skip1m,63,21,869629,-0.6756177886634189,-7.322888922868079,-0.9453808948131612,1.9628702046909252,1.287252416027506,260225.64164062607,0.46179751175977635,-116069.63461039099,39.48584213295962,467.2849829351536,0.02661516365103098,4.243587682282628,0.9931048560607937,126091.94759366033,0.0809753474397728,-407535.5363659726,30.117960891987103,467.77019340159273,0.021361781401994122,1.222735479139633,0.05772888720249341,-30431548.835215606,-5.954579671667885,30691774.476856235,scaled
6m_skip1m,126,21,849704,-1.6874224172088272,-17.762617536424088,-2.293144063454077,2.6274426285834274,0.9400202113745993,408505.29893060535,0.7183136315678512,-118844.16212661623,34.55600629171819,458.70932878270764,0.02588625977244388,4.243706768976654,1.7484964393586557,266566.4277896823,0.17229097892909884,-369425.9649399481,27.35706131607113,459.273606370876,0.021764525586306996,1.249476944692093,0.15932300087277285,-28395838.66447856,-5.674946095726266,28804343.963409167,scaled
12m_skip1m,252,21,810695,-1.555769400209425,-16.34415656648611,-2.1100215396602433,2.4516994849276164,0.8959300847181915,479347.21839267545,0.7821511161724194,-112110.10838140987,30.958263386705912,443.69005175388156,0.03944450672309608,5.896036687346914,1.8260522776783028,441314.31361032685,0.2533279431387355,-483126.7369908788,26.092009109571084,444.3122484186314,0.031344283528475694,1.5971955041811217,0.3884512667209529,-26510283.891862974,-5.573773205283077,26989631.110255644,scaled
12m_noskip,252,0,823638,-1.4883201172767981,-14.453811065090179,-1.8659789848107582,2.5415849496106375,1.0532648323338394,-242646.06253171118,-0.3916879497603228,-275437.1090163038,30.76095045959414,446.3196814562002,0.03984691490689013,6.0183342868968035,-1.2835141495510376,-363139.0881922153,-0.22781058615893288,-767514.2413970539,25.744367132917766,446.95676905574516,-0.008914981191003611,-0.4913194885622401,-0.7609808283869204,-27624449.761150483,-5.648810240194681,27381803.698618773,scaled
