date,expiration,strike,dte,iv,underlying_price,iv_mean,iv_std,zscore
2017-01-03,2017-02-01,2260.0,29,0.10540000000000001,2257.83,,,
2017-01-04,2017-02-03,2270.0,30,0.0985,2270.75,,,
2017-01-05,2017-02-03,2270.0,29,0.09675,2269.0,,,
2017-01-06,2017-02-06,2275.0,31,0.09245,2276.98,,,
2017-01-09,2017-02-06,2270.0,28,0.09235,2268.9,,,
2017-01-10,2017-02-08,2270.0,29,0.0933,2268.9,,,
2017-01-11,2017-02-10,2275.0,30,0.09460000000000002,2275.32,,,
2017-01-12,2017-02-10,2270.0,29,0.09405,2270.44,,,
2017-01-13,2017-02-13,2275.0,31,0.08815,2274.6400000000003,,,
2017-01-17,2017-02-15,2265.0,29,0.0938,2267.8900000000003,,,
2017-01-18,2017-02-15,2270.0,28,0.09235,2271.8900000000003,,,
2017-01-19,2017-02-15,2270.0,27,0.094,2263.69,,,
2017-01-20,2017-02-21,2275.0,32,0.0839,2271.31,,,
2017-01-23,2017-02-21,2265.0,29,0.09025,2265.2000000000003,,,
2017-01-24,2017-02-22,2280.0,29,0.0847,2280.07,,,
2017-01-25,2017-02-24,2300.0,30,0.0849,2298.37,,,
2017-01-26,2017-02-24,2295.0,29,0.08430000000000001,2296.6800000000003,,,
2017-01-27,2017-02-27,2295.0,31,0.0805,2294.69,,,
2017-01-30,2017-02-28,2280.0,29,0.08965000000000001,2280.9,,,
2017-01-31,2017-03-01,2280.0,29,0.09140000000000001,2278.87,,,
2017-02-01,2017-03-03,2280.0,30,0.08995,2279.55,,,
2017-02-02,2017-03-03,2280.0,29,0.09065000000000001,2280.85,,,
2017-02-03,2017-03-06,2295.0,31,0.08205,2297.42,,,
2017-02-06,2017-03-06,2295.0,28,0.08245,2292.56,,,
2017-02-07,2017-03-08,2295.0,29,0.08545,2293.08,,,
2017-02-08,2017-03-10,2295.0,30,0.08865,2294.67,,,
2017-02-09,2017-03-10,2310.0,29,0.08475,2307.87,,,
2017-02-10,2017-03-13,2320.0,31,0.08325,2316.1,,,
2017-02-13,2017-03-13,2330.0,28,0.0825,2328.25,,,
2017-02-14,2017-03-15,2340.0,29,0.0859,2337.58,,,
2017-02-15,2017-03-15,2350.0,28,0.09380000000000001,2349.25,,,
2017-02-16,2017-03-15,2345.0,27,0.09210000000000002,2347.2200000000003,,,
2017-02-17,2017-03-20,2340.0,31,0.08965000000000001,2351.1600000000003,,,
2017-02-21,2017-03-22,2365.0,29,0.09115000000000001,2365.38,,,
2017-02-22,2017-03-24,2365.0,30,0.0933,2362.82,,,
2017-02-23,2017-03-24,2365.0,29,0.09260000000000002,2363.81,,,
2017-02-24,2017-03-27,2360.0,31,0.09040000000000001,2367.34,,,
2017-02-27,2017-03-27,2370.0,28,0.094,2369.75,,,
2017-02-28,2017-03-29,2365.0,29,0.10255,2363.6400000000003,,,
2017-03-01,2017-03-31,2395.0,30,0.1022,2395.96,,,
2017-03-02,2017-03-31,2380.0,29,0.0976,2381.92,,,
2017-03-03,2017-04-03,2385.0,31,0.08615,2383.12,,,
2017-03-06,2017-04-03,2375.0,28,0.088,2375.31,,,
2017-03-07,2017-04-05,2370.0,29,0.09045,2368.3900000000003,,,
2017-03-08,2017-04-07,2365.0,30,0.09485000000000002,2362.98,,,
2017-03-09,2017-04-07,2365.0,29,0.0989,2364.87,,,
2017-03-10,2017-04-10,2370.0,31,0.09015000000000001,2372.6,,,
2017-03-13,2017-04-13,2375.0,31,0.08940000000000001,2373.4700000000003,,,
2017-03-14,2017-04-13,2365.0,30,0.0951,2365.4500000000003,,,
2017-03-15,2017-04-13,2385.0,29,0.08830000000000002,2385.26,,,
2017-03-16,2017-04-13,2380.0,28,0.08325,2381.38,,,
2017-03-17,2017-04-17,2380.0,31,0.08025,2378.25,,,
2017-03-20,2017-04-17,2375.0,28,0.08085,2373.4700000000003,,,
2017-03-21,2017-04-19,2350.0,29,0.09625,2344.02,,,
2017-03-22,2017-04-19,2350.0,28,0.1013,2348.4500000000003,,,
2017-03-23,2017-04-19,2345.0,27,0.1063,2345.96,,,
2017-03-24,2017-04-24,2340.0,31,0.10880000000000001,2343.98,,,
2017-03-27,2017-04-24,2340.0,28,0.10235,2341.59,,,
2017-03-28,2017-04-26,2360.0,29,0.09175,2358.57,,,
2017-03-29,2017-04-28,2360.0,30,0.0916,2361.13,,,
2017-03-30,2017-04-28,2370.0,29,0.09,2368.06,0.09140416666666668,0.006611740274940997,-0.2123747467801447
2017-03-31,2017-05-01,2365.0,31,0.09335,2362.7200000000003,0.09114749999999999,0.006353068289804167,0.3466828781826147
2017-04-03,2017-05-01,2360.0,28,0.095,2358.84,0.09106166666666667,0.0062864891893395945,0.626475798290057
2017-04-04,2017-05-03,2360.0,29,0.09235,2360.1600000000003,0.0910325,0.006263668612843866,0.21033999105546877
2017-04-05,2017-05-05,2355.0,30,0.10115,2352.9500000000003,0.09103083333333334,0.006263298338211768,1.6156290376478832
2017-04-06,2017-05-05,2355.0,29,0.1008,2357.4900000000002,0.0911775,0.00639633386123698,1.504377383787644
2017-04-07,2017-05-08,2350.0,31,0.10705,2355.54,0.09130250000000001,0.006510776106461852,2.4186824646559155
2017-04-10,2017-05-08,2355.0,28,0.1149,2357.1600000000003,0.09151,0.0068092023973543025,3.4350572409314974
2017-04-11,2017-05-10,2355.0,29,0.12145,2353.78,0.0918575,0.007443509429504245,3.9756112731855486
2017-04-12,2017-05-12,2345.0,30,0.1267,2344.9300000000003,0.09241250000000001,0.008348787717742744,4.106883676911872
2017-04-13,2017-05-12,2330.0,29,0.13230000000000003,2328.9500000000003,0.09296083333333334,0.009449330043809252,4.163169926786484
2017-04-17,2017-05-15,2350.0,28,0.11565,2349.01,0.09362666666666668,0.010726726745222265,2.0531270961239527
2017-04-18,2017-05-17,2350.0,29,0.11305000000000001,2342.19,0.09398750000000002,0.011097238261563018,1.717769732495145
2017-04-19,2017-05-17,2345.0,28,0.117,2338.17,0.09447333333333334,0.011284632067726215,1.9962251787625767
2017-04-20,2017-05-17,2355.0,27,0.10825000000000001,2355.84,0.09491916666666667,0.011637840426911687,1.145473115656985
2017-04-21,2017-05-22,2330.0,31,0.12095,2348.69,0.09531166666666668,0.011684378121680054,2.1942402981432165
2017-04-24,2017-05-22,2375.0,28,0.08005000000000001,2374.15,0.09591250000000001,0.012060734809809168,-1.315218371860627
