decile,signal,iv,earnings_in_hold,stock,straddle,call_hedged,put_hedged,daily_hedged,sort
1,-0.008976408021156027,0.3911963714624149,0.3193170271527559,0.0055200771610271,0.031794063508019936,-0.0016439168581801385,0.0023945357512412868,0.014305142641610957,skew: OTM put IV - ATM call IV
2,0.010572909974548026,0.3555510924325105,0.32826122216108006,0.010996040108579795,0.03653328075157689,-0.0003330147825046583,0.003516702422710031,0.013947948791806846,skew: OTM put IV - ATM call IV
3,0.017334498723406918,0.329759849019966,0.3035671872313187,0.008828618852019866,0.029176028293382276,-0.0003973284664666004,0.0031170055732423147,0.009964148719540673,skew: OTM put IV - ATM call IV
4,0.022655930812871348,0.30478227916734285,0.29334035908843253,0.008749293086349814,0.0582155072322937,-0.00021978094966506944,0.0029853082373404757,0.013006953919448318,skew: OTM put IV - ATM call IV
5,0.028068705185928654,0.2929485140512385,0.2750942659022465,0.00920257235993143,0.048679503472605086,-0.0005922348545777418,0.0022289023415950956,0.012287847889283625,skew: OTM put IV - ATM call IV
6,0.03429966974854261,0.2859724616000567,0.28894101727696997,0.008660624433779802,0.0363789871986298,0.00006106891201747492,0.0023589334633845396,0.0008095044050497321,skew: OTM put IV - ATM call IV
7,0.042334071255916705,0.2852292196636458,0.2779543027125951,0.005902409812384716,0.03605322427481453,-0.0006634304768889252,0.000951534754248562,0.0025827501444726855,skew: OTM put IV - ATM call IV
8,0.05334311908160859,0.2810589548356805,0.28290494312807574,0.004831445492105852,0.0472690811157631,0.001714548640622291,0.0007062354379388154,0.017702970888971263,skew: OTM put IV - ATM call IV
9,0.06912664778621648,0.27176600212767443,0.29597221280226066,0.0026475652936366273,0.011016725788205608,0.0015997038711711906,-0.0021698130941149936,0.015017850711540388,skew: OTM put IV - ATM call IV
10,0.1095199380329904,0.2824356127921378,0.2644659905263901,0.0033236654888116226,0.034696447302056094,0.0062788307654007966,-0.0035196500924449567,0.025880646437988188,skew: OTM put IV - ATM call IV
1,-0.008132977588231284,0.37753993934113594,0.0,0.004073901649021709,0.04722737760847128,0.0000202337444532728,0.004372241602249659,0.02491364337064175,"skew, no earnings in hold"
2,0.01106627077828443,0.3450271141939587,0.0,0.010906904537626756,0.035057719595971745,-0.0005138487696883613,0.0031600360693676516,0.0063051657578073956,"skew, no earnings in hold"
3,0.018010425430645426,0.31346510500961017,0.0,0.008542661189693358,0.03138974523201381,-0.0014266036641957171,0.002454842123998528,0.011277894904631457,"skew, no earnings in hold"
4,0.02328553224337511,0.29542642618034287,0.0,0.006715306593098668,0.06157563838349141,-0.00022961952639579232,0.0033622006998152705,0.021951128794780186,"skew, no earnings in hold"
5,0.02849759879252835,0.2830991133774492,0.0,0.008696021974322253,0.078820271451824,0.002397870802527796,0.005406678512831182,0.004749720380827243,"skew, no earnings in hold"
6,0.03465382916903736,0.27629371411649845,0.0,0.006783094162968624,0.030309822088179696,-0.0012430461038553484,0.0011301344205849335,-0.0013889023368304305,"skew, no earnings in hold"
7,0.04283615662096751,0.2760278991887048,0.0,0.003508524552091748,0.027317780752419092,-0.0011816473473079954,0.00006287661532460704,-0.00029872382846657494,"skew, no earnings in hold"
8,0.05375246956229087,0.27601119000631746,0.0,0.004608737411838119,0.037208799108960536,0.0009554861860400671,0.0002342913393801949,0.018849384739024203,"skew, no earnings in hold"
9,0.0700670449323037,0.26406762730482086,0.0,0.001675223459023299,-0.01781435077121385,0.0000621327892075703,-0.003615242372006185,0.018158872533767214,"skew, no earnings in hold"
10,0.11153823589204913,0.27631243036257985,0.0,0.003838628542336947,0.039205758397083915,0.00611679266556138,-0.003140686793612019,0.03083343756313621,"skew, no earnings in hold"
