iv_decile,mean,tstat,days,observations
0,74.94065909597829,51.2511037412719,2202,80461
1,67.77551717525463,62.30535835984227,2202,80059
2,65.10730174625454,53.78873660664171,2202,80508
3,61.04767818322178,49.34164987481124,2202,80468
4,60.006638964188745,43.39408588392395,2202,80279
5,57.69450052429658,41.15307989657436,2202,80894
6,54.181159928912976,41.61402915969968,2202,80774
7,53.58824561971308,39.43829806515566,2202,80408
8,48.96232259285878,36.95665678085333,2202,80102
9,36.808532028744395,32.28686084769746,2202,77957
