iv_decile,mean,tstat,days,observations
0,0.5192274348434112,17.52844397121428,2202,90470
1,0.3274154229014337,12.319998362327723,2202,89376
2,0.26973725179397423,9.846397185198205,2202,89576
3,0.20995607243971431,7.91174046689929,2202,89371
4,0.1588137570485193,5.879624970465736,2202,89147
5,0.11463769602357737,4.307936227502978,2202,89808
6,0.04282658738994857,1.419581654500265,2202,89575
7,-0.020479704184844814,-0.6660644350237557,2202,89372
8,-0.15076951176959158,-4.212441091167982,2202,89580
9,-0.4363772830380944,-10.458404876951832,2202,88492
