window,decile,label,days,start,end,mean_names,positions_per_side,gross_pnl_per_day,gross_tstat,gross_sharpe,gross_total,hit_rate,unmarked_share,one_sided_mark_share,gross_premium_per_day,gross_return_on_premium_bps,vega_share_of_pnl,vega_r2,spread_cost_full_per_day,hedge_cost_per_day,breakeven_spread_fraction,net_25_pnl_per_day,net_25_tstat,net_25_sharpe,net_50_pnl_per_day,net_50_tstat,net_50_sharpe
20,0.05,w20-d5,2242,2017-02-01,2025-12-31,406.114183764496,20.77207850133809,568.7600728018805,1.8363943375056573,0.6659626225516854,1275160.0832218162,0.5405887600356825,0.000752883435392259,0.0026614994627740985,649932.8951888839,8.751058409446827,-0.6632227704250531,0.6234985041140835,202262.09472993578,169.74369878450895,0.0019727689192092367,-50166.50730846657,-31.623900280939555,-22.846599502080036,-100732.03099095052,-31.175077610005097,-23.702681402453692
20,0.1,w20-d10,2242,2017-02-01,2025-12-31,406.114183764496,41.058429973238184,186.20924308589963,0.8516581403887193,0.29237741713732035,417481.1229985869,0.5196253345227475,0.0007129023171970766,0.002747149112969939,643204.8477926,2.8950223824485595,-2.7563074554879674,0.6428171656233417,197920.49542036682,170.54295448066017,0.00007915445326652767,-49464.45756648647,-31.92659028423056,-23.90960736764376,-98944.58142157816,-31.788125802993793,-24.623747234961066
20,0.2,w20-d20,2242,2017-02-01,2025-12-31,406.114183764496,81.61462979482604,202.45055545039196,1.3406499898002944,0.4651560981235356,453894.1453197789,0.5312221231043711,0.0006702714434497804,0.0025500345655531534,633799.816737489,3.1942349950890603,-1.57051748620624,0.5549327736690199,192901.89663157173,171.1897138289025,0.0001620556467684472,-48194.213316271445,-32.70839294375865,-25.1966196025249,-96419.68747416437,-32.50609470566876,-25.520801047848362
60,0.05,w60-d5,2202,2017-03-30,2025-12-31,401.8855585831063,20.574023614895548,672.4132535919204,1.8538540254337528,0.6871604001953133,1480653.984409409,0.5454132606721163,0.0007990886533861302,0.00330455754613485,673541.4638717122,9.983249579420006,2.3753756793746326,0.5953362125142604,207189.74187034537,170.3639849444581,0.0024231376713700114,-51295.386198938875,-31.90793223517085,-22.893452991781057,-103092.82166652521,-31.576423957776814,-24.146495500093273
60,0.1,w60-d10,2202,2017-03-30,2025-12-31,401.8855585831063,40.63760217983651,224.0657809287431,0.9164982983765605,0.31176806621414405,493392.84960509225,0.536330608537693,0.0007905750150493012,0.0031414788384707014,659601.5976094289,3.396986631639718,4.789775434903561,0.5872015043472618,199440.5566501324,168.38412655735894,0.00027918922463229676,-49804.45750816171,-31.202284526478884,-23.349016234886772,-99664.5966706948,-31.197891484100495,-24.29014229358596
60,0.2,w60-d20,2202,2017-03-30,2025-12-31,401.8855585831063,80.77565849227975,13.377644558206043,0.07809032562997825,0.02789699429584484,29457.57331716981,0.5326975476839237,0.0007295665698187426,0.0028429221906949966,642841.7898872609,0.20810166309430833,53.29830724857259,0.5019015866270473,193456.9967560284,168.95753227621364,-0.0008042091541109351,-48519.82907672512,-31.855025637764857,-24.69431910803718,-96884.07826573221,-31.785385354885424,-25.15139318983553
120,0.05,w120-d5,2141,2017-06-26,2025-12-31,396.1247080803363,20.288183092013078,738.1073644806136,1.9361027735302352,0.6897557350872447,1580287.8673529932,0.5474077533862681,0.0009544196098630232,0.003626639202252439,685468.7800120872,10.767920961587745,2.656100413649186,0.6155167254681629,209748.12968413433,167.58367004782053,0.0027200418677962024,-51866.5087266008,-31.737956873718858,-22.707150831524313,-104303.54114763439,-31.719301461274448,-24.453943349927364
120,0.1,w120-d10,2141,2017-06-26,2025-12-31,396.1247080803363,40.05791686127978,197.19127049966593,0.7319247674767072,0.2590637381544348,422186.5101397845,0.5347968239140588,0.0007976722852040719,0.003195338276775607,669120.0375648676,2.9470238436933545,6.08255196000913,0.5741939377093445,201112.40782869642,165.91312271367332,0.00015552569890483627,-50246.82380938812,-31.448052464650203,-23.791471773966713,-100524.92576656221,-31.492831430724003,-24.89188884589504
120,0.2,w120-d20,2141,2017-06-26,2025-12-31,396.1247080803363,79.63428304530593,-90.12079892192992,-0.45279436414545016,-0.1727394612640906,-192948.630491852,0.539000467071462,0.0007256648504274189,0.002842029038568515,648820.59035991,-1.3889941265880397,-7.731445509039278,0.5497660647411824,194593.38433754264,167.05399119856241,-0.0013216008909860766,-48905.52087450616,-31.791672484911125,-24.87313802569291,-97553.86695889183,-31.824725158423252,-25.494306217744242
252,0.05,w252-d5,2009,2018-01-03,2025-12-31,383.2558486809358,19.619711299153806,424.91535337841356,1.0540512813519967,0.3680927582691989,853654.9449372329,0.5425584868093579,0.000939668536569439,0.003666946292259101,700344.5742691342,6.067232744993375,4.561798208659246,0.5661418664128957,215883.65520697864,165.29993906980377,0.0012025709591571593,-53711.29838743605,-30.363693391837135,-22.201345621165732,-107682.21218918072,-30.44033032296019,-24.10827339693879
252,0.1,w252-d10,2009,2018-01-03,2025-12-31,383.2558486809358,38.79044300647088,-129.88234527901062,-0.41677140917654987,-0.15118211053031344,-260933.6316655324,0.5355898456943753,0.0008298687660279209,0.003200236574886002,679368.9276371739,-1.9118087388944591,-9.00704043635688,0.5341899438390276,205451.05243155107,163.6634821365457,-0.00142878716823977,-51656.30893530333,-30.154759186479183,-23.26819534734951,-103019.07204319109,-30.363921147288107,-24.652916632617778
252,0.2,w252-d20,2009,2018-01-03,2025-12-31,383.2558486809358,77.05724240915879,-213.61887544566352,-0.9153412069422606,-0.3559073551370842,-429160.32077033806,0.5390741662518665,0.0007361221713100428,0.0028961351231402708,657177.4440679043,-3.250550933753455,-3.6177878861251136,0.4918836061820362,197727.0566868931,164.25320700453202,-0.0019110792866783408,-49809.63625417346,-30.76741895650338,-24.60450758423908,-99241.40042589675,-30.783326654217706,-25.367047240458433
