tenor,quantile,frac_earnings_in_life,median_days_to_earnings
30,0,0.06718499614220429,63.0
30,1,0.11278467285215087,58.0
30,2,0.19009555862732136,55.0
30,3,0.24962387915989648,50.0
30,4,0.2876728876004107,48.0
30,5,0.32490563776885745,46.0
30,6,0.36237017470132676,43.0
30,7,0.41906138924031566,40.0
30,8,0.5241615578795529,30.0
30,9,0.7585766423357664,20.0
60,0,0.26199306864473765,72.0
60,1,0.4280083754156916,62.0
60,2,0.5100073673870335,56.0
60,3,0.5596748368025619,50.0
60,4,0.6047143033444403,47.0
60,5,0.6397230052702537,43.0
60,6,0.6775580395528805,41.0
60,7,0.7277764097512928,38.0
60,8,0.80143716988085,34.0
60,9,0.8557931377424167,30.0
90,0,0.7500770036345715,57.0
90,1,0.8422598587588276,51.0
90,2,0.8703669096119105,49.0
90,3,0.8972067737299256,48.0
90,4,0.9196764484574869,44.0
90,5,0.9366380916884085,42.0
90,6,0.949513836948392,41.0
90,7,0.9579065700724456,38.0
90,8,0.9591696795910735,35.0
90,9,0.9592971811401846,35.0
120,0,0.9717433921449334,61.0
120,1,0.9799862448418157,56.0
120,2,0.9806230742896268,55.0
120,3,0.9833150233452348,52.0
120,4,0.9820874956941096,50.0
120,5,0.9823722328505056,48.0
120,6,0.9807021145555328,46.0
120,7,0.983168452871668,43.0
120,8,0.9800534649393379,38.0
120,9,0.9808013355592654,36.0
