basis,period,days,mean_daily_pnl,t_stat_nw,sharpe_annual,total_pnl
gross,2021,182,912.9062555727995,4.951471055993548,3.242435508581486,166148.9385142495
gross,2022,251,397.12696702025835,1.4728819889594815,1.1160996322487975,99678.86872208485
gross,2023,250,-3.2550144203342484,-0.009764929601392159,-0.007022231218577295,-813.7536050836043
gross,2024,252,795.1949366332753,1.4926977540742465,1.4305838511919917,200389.12403158538
gross,2025,250,614.2974149514581,2.35535989633558,2.1402288014079898,153574.35373786459
gross,pooled,1185,522.3439083550217,3.1952377101824694,1.277166456388779,618977.5314007004
net@0.5,2021,182,-989.9386097705566,-4.835650264014718,-3.4496931518039275,-180168.82697824147
net@0.5,2022,251,-1575.3042607196462,-7.243429222416023,-4.23567033064542,-395401.3694406312
net@0.5,2023,250,-1086.839336205123,-3.5824029959042907,-2.337068447220308,-271709.8340512809
net@0.5,2024,252,-518.5575620845161,-0.9863898845733365,-0.9186626384527258,-130676.50564529808
net@0.5,2025,250,-947.3319002685664,-4.073270526029223,-3.146521910441002,-236832.97506714152
net@0.5,pooled,1185,-1025.138828002188,-6.551236054892617,-2.454998888647576,-1214789.511182594
