horizon,target,covariance,t_beta_eq_1_IV,t_beta_eq_1_RV,t_dm_iv_vs_rv
5,target_rv,OLS,-22.171776612732348,-178.44987422969837,-28.12665544897895
5,target_rv,Newey-West,-14.849604893394455,-118.73361781806203,-27.773569366705196
5,target_rv,Driscoll-Kraay,-3.4847059303853785,-34.26833588165187,-8.743143759190348
5,target_iv,OLS,-49.74340140505738,-320.7997785078666,-60.170607877882745
5,target_iv,Newey-West,-29.70494278699525,-120.92114734863162,-57.68988572901068
5,target_iv,Driscoll-Kraay,-4.477980007024416,-26.847663412378758,-11.61539565115174
21,target_rv,OLS,-22.636931697578362,-150.2322718619214,-40.87862340842867
21,target_rv,Newey-West,-17.01897123452069,-98.60608604991526,-37.29546170634196
21,target_rv,Driscoll-Kraay,-2.8091848400741,-15.83631725622932,-5.555342127988184
21,target_iv,OLS,-90.26348985150874,-208.13006511257717,-88.09864584125518
21,target_iv,Newey-West,-62.77249529187786,-95.76706153740979,-47.22492494111202
21,target_iv,Driscoll-Kraay,-9.88090422151287,-18.871813053661597,-3.3782257099327824
