group,series,names_per_month,months,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
earnings in hold,naked,83.5204081632653,98,-0.02050998890051268,0.3772956899747768,-0.5381416662463343,-2.972713971421717,0.9261992619926199,-0.054360517348830115,NaN,NaN
earnings in hold,daily_hedge,83.5204081632653,98,-0.009380716929264616,0.18041135981506415,-0.5147367651251876,-1.0816668303823507,0.25233752028543316,-0.05199626530657819,NaN,NaN
earnings in hold,variance_premium,83.5204081632653,98,-0.008728301632231443,0.1346967669807477,-0.6414836803458286,-1.2203216390324085,0.1501510453029032,-0.06479963719900557,NaN,NaN
no earnings,naked,201.48979591836735,98,-0.03461911000272682,0.4595348558768665,-0.7457795633979654,-3.802564872563705,0.4032474138268098,-0.07533511236414915,NaN,NaN
no earnings,daily_hedge,201.48979591836735,98,-0.011855321103026376,0.211334874802873,-0.5553351823298762,-1.4050604050299746,0.2857644513855685,-0.05609732475098903,NaN,NaN
no earnings,variance_premium,201.48979591836735,98,-0.012822992039562,0.14504972527578205,-0.8751560509784033,-1.3408302801039766,0.1561182218676572,-0.08840411117760984,NaN,NaN
iv tercile 1,naked,94.6938775510204,98,-0.047493053605544296,0.5355434042353926,-0.8779068885435463,-4.690923422449311,0.3817837634024424,-0.08868198773421773,NaN,NaN
iv tercile 1,daily_hedge,94.6938775510204,98,-0.018038514123981858,0.25940983956236446,-0.6883785886287712,-2.0101912048533497,0.2878449953316802,-0.06953673829186127,NaN,NaN
iv tercile 1,variance_premium,94.6938775510204,98,-0.010527194688747545,0.1222226588048065,-0.8526562221528374,-1.1856392379829106,0.07987890399751776,-0.08613128524359638,NaN,NaN
hv/iv tercile 1,naked,94.66326530612245,98,-0.038746956747180934,0.4068524777327122,-0.9427871848425227,-3.4231548782012178,0.424404103384818,-0.09523588737398897,NaN,NaN
hv/iv tercile 1,daily_hedge,94.66326530612245,98,-0.005833722024065405,0.1921138221371409,-0.3006077386644768,-1.3436449807695117,0.2679911432718878,-0.030365967212400723,NaN,NaN
hv/iv tercile 1,variance_premium,94.66326530612245,98,-0.005721963231266559,0.14442517850447276,-0.39220686186409787,-1.2885145822880733,0.291700062259068,-0.03961887595028559,NaN,NaN
iv tercile 2,naked,94.93877551020408,98,-0.03178352749638557,0.4501720829985525,-0.698934654993118,-3.6373898193447,0.38749531102607954,-0.07060306202170197,NaN,NaN
iv tercile 2,daily_hedge,94.93877551020408,98,-0.00382042679307259,0.18899577346378166,-0.20011185964941888,-1.165351518354901,0.24401709529865834,-0.020214350421993536,NaN,NaN
iv tercile 2,variance_premium,94.93877551020408,98,-0.009897504569708185,0.12740160572897113,-0.7690664164889428,-1.1826292391485222,0.1181791810267482,-0.07768743975459559,NaN,NaN
hv/iv tercile 2,naked,94.98979591836735,98,-0.028497409067200993,0.4875686219106593,-0.5786056445999115,-4.238677974710683,0.47082001922185,-0.058447996418487275,NaN,NaN
hv/iv tercile 2,daily_hedge,94.98979591836735,98,-0.018863102282435675,0.21194887679521954,-0.881038806892001,-1.5442382692277474,0.25904565192832346,-0.08899835926311986,NaN,NaN
hv/iv tercile 2,variance_premium,94.98979591836735,98,-0.0128979168546869,0.1412741131952578,-0.9037951802205842,-1.3140381878270757,0.12649948020869012,-0.09129710010538471,NaN,NaN
iv tercile 3,naked,95.37755102040816,98,-0.026586120653073742,0.37207679517438313,-0.7073517354553114,-2.75854549731388,0.44759853650991216,-0.0714533155463605,NaN,NaN
iv tercile 3,daily_hedge,95.37755102040816,98,-0.012173025159874156,0.1613986971637887,-0.7466404813115024,-0.9178451970204156,0.2990575201501858,-0.07542207820625015,-0.3807001361876321,-0.8236033471991426
iv tercile 3,variance_premium,95.37755102040816,98,-0.015071081196481876,0.18427082010064452,-0.8096566342535845,-1.6040790187253564,0.27318020687537126,-0.0817876709304837,NaN,NaN
hv/iv tercile 3,naked,95.35714285714286,98,-0.03854073115218758,0.43078879796965147,-0.8856631711237556,-3.409178779392888,0.36544497881987786,-0.08946549059268417,NaN,NaN
hv/iv tercile 3,daily_hedge,95.35714285714286,98,-0.009284359319534282,0.19954208660258896,-0.46060693078980997,-1.197172842430359,0.2368582692523914,-0.046528326317571055,NaN,NaN
hv/iv tercile 3,variance_premium,95.35714285714286,98,-0.01683276123263008,0.1475482715707502,-1.1293648703415127,-1.371080667545455,0.0851306959892625,-0.11408307975033566,NaN,NaN
