symbol,month,entry_day,expiration,strike,spot_entry,iv,realized_var,premium_over_spot,naked,static_hedge,daily_hedge,variance_premium,earnings_in_hold,hedged_sessions
A,2017-10-01,2017-10-24,2017-11-17,67.5,67.32000000000001,0.1738,0.011987517958974679,0.036244800950683304,0.4713114754098336,0.46649180327868606,0.27732868852458553,0.018218922041025327,false,18
A,2017-11-01,2017-11-21,2017-12-15,70.0,69.91,0.2966,0.052818949212929706,0.03382920898297812,-0.010570824524313046,-0.02515856236786489,-0.6231365750528545,0.035152610787070285,false,17
A,2017-12-01,2017-12-19,2018-01-19,67.5,67.75,0.17245,0.030339387661586177,0.03985239852398524,-1.0629629629629656,-0.8582414814814838,-0.035204444444447536,-0.0006003851615861804,false,20
A,2018-02-01,2018-02-21,2018-03-16,70.0,71.25,0.2308,0.030438244127369646,0.04708771929824562,0.9701937406855456,0.8566005961251885,0.3654542473919532,0.022830395872630353,false,17
A,2018-03-01,2018-03-20,2018-04-20,70.0,69.85000000000001,0.20745000000000002,0.08990922754861806,0.0462419470293486,0.24148606811145423,0.23116099071207336,-0.3863504643962848,-0.04687372504861805,false,22
A,2018-04-01,2018-04-24,2018-05-18,67.5,66.64,0.30460000000000004,0.1706156125269547,0.07165366146458584,0.33403141361256705,0.3681390575916246,-0.5321279581151834,-0.07783445252695467,true,18
A,2018-05-01,2018-05-22,2018-06-15,65.0,64.84,0.2022,0.03164692025026111,0.03909623689080814,0.5542406311637043,0.5527140039447693,0.16478895463510743,0.009237919749738886,false,17
A,2018-06-01,2018-06-19,2018-07-20,65.0,63.52,0.189,0.02795573170318194,0.05092884130982368,0.6445131375579602,0.6179397217928908,0.16964914992272148,0.007765268296818062,false,22
A,2018-07-01,2018-07-24,2018-08-17,62.5,64.79,0.2783,0.05322433188516287,0.06420743941966353,0.4807692307692316,0.46773173076923064,0.27449735576922984,0.02422655811483712,true,18
A,2018-08-01,2018-08-21,2018-09-21,65.0,64.93,0.17135,0.017899759290384235,0.04004312336362236,-1.1999999999999995,-1.1363099999999997,0.12966999999999917,0.011461063209615766,false,22
A,2018-09-01,2018-09-25,2018-10-19,70.0,70.38000000000001,0.16770000000000002,0.07431487891283658,0.03410059676044331,-1.3041666666666667,-1.6548266666666676,-0.6110066666666676,-0.046191588912836576,false,18
A,2018-10-01,2018-10-23,2018-11-16,65.0,62.730000000000004,0.2313,0.08497115058624104,0.058424996014666025,0.9972714870395659,0.756225375170534,0.007907230559347158,-0.031471460586241035,false,18
A,2018-12-01,2018-12-26,2019-01-18,62.5,65.54,0.36885,0.09326352949555908,0.07979859627708269,-0.8030592734225636,-0.25606061185468587,-0.09099426386233445,0.04278679300444094,false,16
