sample,series,months,mean,std,t_stat,min,max,sharpe,ce_gamma3,ce_gamma7
S&P 500 names,naked,98,-0.0352734536300196,0.4324162328720094,-0.8075306823889328,-3.6914551284777484,0.39205593947946227,-0.08157291736191635,NaN,NaN
S&P 500 names,static_hedge,98,-0.018471354060792276,0.34347173457365626,-0.5323788177916615,-2.628996239003962,0.36467183612793197,-0.05377838174579446,NaN,NaN
S&P 500 names,daily_hedge,98,-0.011323931590035599,0.1973225499512641,-0.5681114675731777,-1.3617608469181588,0.25314349690498833,-0.057387924455833614,NaN,NaN
S&P 500 names,variance_premium,98,-0.011831030249496596,0.14290764385876997,-0.8195588485493283,-1.3246952319270304,0.15225526019679014,-0.08278794562723839,NaN,NaN
S&P 500 names,vol_premium,98,0.007356519953106325,0.1023642665564848,0.7114380288816246,-0.8357529349924349,0.1352586391866882,0.07186609351659823,-0.1385642780068902,-0.6474428770291574
SPX index,naked,85,-0.01456257939154011,0.6967594521925429,-0.19269253928407373,-1.8994285714285677,0.9860750183868588,-0.020900440382566752,NaN,NaN
SPX index,static_hedge,85,-0.0021398692628276056,0.6943591114999055,-0.028412703851206467,-2.1023530058651017,0.987135582250551,-0.0030817904271540574,NaN,NaN
SPX index,daily_hedge,85,-0.0348195533612829,0.3152953783407153,-1.0181577094052034,-1.2221692483349222,0.4648386187563703,-0.11043470901643254,NaN,NaN
SPX index,variance_premium,85,-0.0022296187229173666,0.03134645076647656,-0.6557702207464242,-0.2362283033404802,0.06061202814017585,-0.07112826710518151,-0.004118588330628614,-0.008307563074274715
SPX index,vol_premium,85,0.001727539758194077,0.06202252383989395,0.25679589633478755,-0.35567290185917344,0.12492927837190923,0.027853425678928817,-0.006030754792397897,-0.026481397312860033
