tail,month,names,naked,static_hedge,daily_hedge,iv,realized_vol
worst,2020-02-01,239,-3.6914551284777484,-2.628996239003962,-1.3617608469181588,0.3065110878661088,1.1422640228585437
worst,2025-03-01,326,-0.6003380879635447,-0.6914638423517295,-0.7127367676708711,0.2880210429447853,0.5924866663888739
worst,2022-04-01,264,-0.2773891058515026,-0.5445150750492967,-0.33448228099846333,0.34820833333333334,0.44959972118401886
worst,2018-01-01,314,-0.13605096221692436,-0.18886996810704987,-0.32620755862549966,0.25647547770700635,0.34754791078339337
worst,2019-07-01,274,-0.3259745796017249,-0.48307673893692876,-0.2991391389661476,0.2730211678832117,0.3496952907051329
worst,2018-09-01,310,-0.607102567987456,-0.5965726481609036,-0.26823814965936266,0.22291419354838712,0.2809395644364593
worst,2024-07-01,322,0.054231856408093165,0.03783412175697121,-0.20262413228486975,0.3165783850931677,0.36879142469019593
worst,2023-09-01,315,-0.36060729428090443,-0.43747691437796765,-0.17989072610907264,0.2371495238095238,0.2716383090303796
best,2020-07-01,256,0.25120523656716337,0.279610050808368,0.25314349690498833,0.4171619140625,0.2833536465914652
best,2020-04-01,190,0.39205593947946227,0.36467183612793197,0.22907965011818077,0.6106167105263158,0.47535807133962765
best,2023-03-01,243,0.18683618823491388,0.23197732980630406,0.20874240295265162,0.3244623456790124,0.23468051388588768
best,2020-11-01,266,0.15121052803411966,0.14153878099335773,0.18245886040044848,0.3171989473684211,0.2521308608086272
best,2022-06-01,216,0.2678396328445495,0.30783940143508415,0.15813243767775118,0.38945722222222223,0.3343940331958239
