rule,effective_spread,months,months_short,months_long,naked_mean,naked_t,naked_sharpe,naked_min,naked_max_drawdown,hedged_mean,hedged_t,hedged_sharpe,hedged_min,hedged_max_drawdown
always short,0.0,95,95,0,0.0428399008081624,0.6291215530123032,0.06454650942208158,-1.8475210477081325,-4.802692894090349,-0.017602902881909056,-0.46643852004788894,-0.04785558241477712,-1.8248133851707846,-3.829690517201246
always short,0.25,95,95,0,0.02025679355986972,0.2980033929639069,0.030574503002889383,-1.8514967259120614,-5.188845792238954,-0.04018601013020175,-1.0788309100661313,-0.11068571592881767,-1.8276598167175773,-5.767981282015775
always short,0.5,95,95,0,-0.002326313688422977,-0.03415394454844314,-0.0035041207745019425,-1.8554724041159902,-5.5749986903875595,-0.06276911737849449,-1.6861190164840298,-0.1729921609951726,-1.8305062482643697,-7.716920094358423
always short,1.0,95,95,0,-0.04749252818500834,-0.686798840671647,-0.07046407427662907,-1.8634237605238482,-8.781589648875718,-0.10793533187507977,-2.7985463718032864,-0.2871247994776623,-1.8361991113579548,-11.664935610190083
"short in contango, flat in backwardation",0.0,95,75,0,0.02779921811200521,0.4608793932224601,0.04728522803683854,-1.8475210477081325,-4.76339874969977,-0.031051962407647515,-0.8562339747169089,-0.08784775223793757,-1.8248133851707846,-4.78182767945386
"short in contango, flat in backwardation",0.25,95,75,0,0.010591466666197617,0.17568420548037364,0.018024819162614336,-1.8514967259120614,-4.999627043264414,-0.04825971385345508,-1.3414573021650618,-0.13763061522679068,-1.8276598167175773,-6.320252924475903
"short in contango, flat in backwardation",0.5,95,75,0,-0.006616284779609954,-0.10941399932163531,-0.011225639471905758,-1.8554724041159902,-6.163765142773448,-0.06546746529926267,-1.8163533587778595,-0.18635392258432432,-1.8305062482643697,-7.869326217026062
"short in contango, flat in backwardation",1.0,95,75,0,-0.04103178767122513,-0.6675215905294786,-0.06848627014326955,-1.8634237605238482,-9.065496756782832,-0.09988296819087783,-2.682536687192492,-0.27522245697337216,-1.8361991113579548,-10.967472802126384
"short in contango, long in backwardation",0.0,95,75,20,0.012758535415848026,0.18700589928455266,0.019186400437816765,-1.8475210477081325,-5.7117322777097925,-0.04450102193338593,-1.1866062644779325,-0.12174323398029897,-1.8248133851707846,-5.854225882786109
"short in contango, long in backwardation",0.25,95,75,20,-0.009824571832444643,-0.14362603994712292,-0.014735720778146569,-1.8514967259120614,-7.556482588899145,-0.06708412918167861,-1.7907894309510832,-0.18373111892987035,-1.8276598167175773,-7.835116380657139
