date,iv_30,iv_30_dte,iv_90,iv_90_dte,slope,spx_close,VIX,VIX3M,slope_z,iv_30_mean_1y
2017-01-03,0.10835,31,0.128,87,0.01965,,,,,
2017-01-04,0.16144999999999998,30,0.13645000000000002,86,-0.024999999999999967,,,,,
2017-01-05,0.09755,29,0.12215000000000001,85,0.02460000000000001,,,,,
2017-01-06,0.09490000000000001,28,0.11375,84,0.018849999999999992,,,,,
2017-01-09,0.09735,32,0.12210000000000001,81,0.024750000000000008,,,,,
2017-01-10,0.09645000000000001,31,0.12215000000000001,80,0.0257,,,,,
2017-01-11,0.09440000000000001,30,0.1208,100,0.026399999999999993,,,,,
2017-01-12,0.0958,29,0.1178,99,0.022000000000000006,,,,,
2017-01-13,0.0902,28,0.1201,98,0.029899999999999996,,,,,
2017-01-17,0.09670000000000001,31,0.11860000000000001,94,0.021900000000000003,,,,,
2017-01-18,0.09555,30,0.117,93,0.02145000000000001,,,,,
2017-01-19,0.10105,29,0.12045000000000002,92,0.019400000000000014,,,,,
2017-01-20,0.08860000000000001,28,0.11370000000000001,91,0.025099999999999997,,,,,
2017-01-23,0.09275,32,0.1139,88,0.021150000000000002,,,,,
2017-01-24,0.08755,31,0.1089,87,0.021349999999999994,,,,,
2017-01-25,0.08475,30,0.1084,93,0.02364999999999999,,,,,
2017-01-26,0.0849,29,0.10845,92,0.02355,,,,,
2017-01-27,0.08170000000000001,28,0.1078,91,0.026099999999999998,,,,,
2017-01-30,0.08755000000000002,29,0.11085,88,0.023299999999999987,,,,,
2017-01-31,0.0937,31,0.1107,87,0.017,,,,,
2017-02-01,0.08945,30,0.10965,86,0.020199999999999996,,,,,
2017-02-02,0.0918,29,0.1106,85,0.018799999999999997,,,,,
2017-02-03,0.0817,28,0.10815,84,0.02645,,,,,
2017-02-06,0.08875,32,0.10835,81,0.019600000000000006,,,,,
2017-02-07,0.08775,31,0.1097,80,0.02195000000000001,,,,,
2017-02-08,0.08830000000000002,30,0.1199,100,0.03159999999999999,,,,,
2017-02-09,0.08610000000000001,29,0.1168,99,0.03069999999999999,,,,,
2017-02-10,0.08315,28,0.11460000000000001,98,0.031450000000000006,,,,,
2017-02-13,0.09265000000000001,32,0.11100000000000002,95,0.018350000000000005,,,,,
2017-02-14,0.0867,31,0.10590000000000001,94,0.01920000000000001,,,,,
2017-02-15,0.09590000000000001,30,0.10835,93,0.012449999999999989,,,,,
2017-02-16,0.09385000000000002,29,0.10900000000000001,92,0.015149999999999997,,,,,
2017-02-17,0.09055,28,0.1094,91,0.018849999999999992,,,,,
