date,gross_pnl,gross_vega,window,book
2018-07-02,0.0,20000.0,1m,rank
2018-07-03,-3337.353931979957,19815.610207411257,1m,rank
2018-07-05,37606.02429004646,19254.54066546982,1m,rank
2018-07-06,-40941.37890597693,18727.201355910343,1m,rank
2018-07-09,1474.0336324235832,20000.0,1m,rank
2018-07-10,-7015.370463457252,19323.432522328065,1m,rank
2018-07-11,3545.6232983869268,19489.66764720867,1m,rank
2018-07-12,-3656.2305575357573,18774.243936808256,1m,rank
2018-07-13,-1278.8675341400124,18257.69463501814,1m,rank
2018-07-16,1530.28549512551,20000.0,1m,rank
2018-07-17,-2628.0054934825707,19402.54398326116,1m,rank
2018-07-18,-6310.489463491865,18703.10677531935,1m,rank
2018-07-19,-5541.11023948718,18579.05018124227,1m,rank
2018-07-20,2796.6183585814615,18276.57635607435,1m,rank
2018-07-23,-2167.43742152812,20000.0,1m,rank
2018-07-24,-13070.539966233551,19797.59607974984,1m,rank
2018-07-25,-2108.6900799388004,18415.890134442958,1m,rank
2018-07-26,4972.8268783194635,17786.537268431795,1m,rank
2018-07-27,-9720.539181971932,16914.829133668056,1m,rank
2018-07-30,-13398.315067665726,20000.0,1m,rank
2018-07-31,-6780.285952165515,19368.390472782048,1m,rank
2018-08-01,1190.2336010981337,19133.159495188604,1m,rank
2018-08-02,-3689.590211003325,18539.948722438716,1m,rank
2018-08-03,1145.651730812168,17972.54409509525,1m,rank
2018-08-06,1081.1415062947215,20000.0,1m,rank
2018-08-07,3869.310055964857,19561.921300240298,1m,rank
2018-08-08,-4483.605622224474,19258.864644189187,1m,rank
2018-08-09,-5394.746747335872,18711.777149217683,1m,rank
2018-08-10,5112.85272021128,18905.15544739149,1m,rank
2018-08-13,5487.313120214937,20000.0,1m,rank
2018-08-14,-8202.339096833555,19511.14751423484,1m,rank
2018-08-15,-1096.4213783415955,19096.59057997345,1m,rank
2018-08-16,190.30073483731448,18282.26954315092,1m,rank
2018-08-17,-4768.062625814093,17591.86441880457,1m,rank
2018-08-20,-765.9876907788538,20000.0,1m,rank
2018-08-21,-8519.726182042023,20450.369408200328,1m,rank
