decile,gross_fwd_pnl_per_vega,net_fwd_pnl_per_vega,gross_t_stat,mean_names,dates,window
1,1.53733765432109,-29.23414131816502,4.587675188331212,49.286120591581344,1758,1m
2,2.0580043074584453,-21.366593185833526,6.421994970974133,49.83503981797497,1758,1m
3,1.8702210826829113,-19.2439866981851,5.825965257396902,49.63936291240046,1758,1m
4,2.0074459979454917,-17.671607812113166,6.319158622550819,49.79522184300341,1758,1m
5,2.0783078143892957,-17.131784466862165,6.525510689661836,49.92207053469852,1758,1m
6,2.0589652943407484,-16.59116395577551,6.779804931833201,49.61433447098976,1758,1m
7,2.0941327996770993,-16.80822040081159,6.8306956679235205,49.67463026166098,1758,1m
8,2.11263127369911,-17.183397388183415,6.902794821572581,49.75995449374289,1758,1m
9,2.269633660670324,-18.46283392822409,7.230274934784198,49.714448236632535,1758,1m
10,1.8895698490124808,-26.53590556566506,5.9013397985614855,50.195676905574516,1758,1m
1,2.227472500292345,-27.441270559482447,6.776204230898585,48.960182025028445,1758,3m_skip1m
2,2.4130255713901416,-20.688709572227065,7.432344462776162,49.473265073947665,1758,3m_skip1m
3,2.411043828354214,-18.803975145011847,7.993676766066619,49.399317406143346,1758,3m_skip1m
4,2.2774288529470943,-17.677828849255864,7.5267937136660095,49.45620022753128,1758,3m_skip1m
5,2.145515548040238,-17.187273899632483,6.787697533987711,49.59783845278726,1758,3m_skip1m
6,2.0429266087094073,-17.005503779229098,6.417059277764564,49.262229806598405,1758,3m_skip1m
7,1.862611638840968,-17.251630760889327,5.8766803760062265,49.32650739476678,1758,3m_skip1m
8,1.945053152686039,-17.493422213081896,6.1233788672343294,49.52901023890785,1758,3m_skip1m
9,1.7148830966758242,-18.89167356496681,5.444903011013131,49.34357224118316,1758,3m_skip1m
10,0.6778583237569624,-27.388953150665998,2.1885968061513905,49.89874857792947,1758,3m_skip1m
1,2.443652966381838,-27.752920108217566,7.82105169246252,48.72810011376564,1758,6m_skip1m
2,2.7481289694912374,-20.806838542631464,8.22443316958093,49.20136518771331,1758,6m_skip1m
3,2.5886288768353616,-18.72000577893484,8.022261510719819,49.18145620022753,1758,6m_skip1m
4,2.4465151816623005,-18.574582328072697,7.574810906832849,49.18657565415245,1758,6m_skip1m
5,2.211877275334752,-17.593742211301855,6.955640933195386,49.36689419795222,1758,6m_skip1m
6,2.0688175086462577,-17.257530223873687,6.412177190867807,49.01706484641638,1758,6m_skip1m
7,1.8502799369817944,-17.099173227380668,5.915223231319325,49.092718998862345,1758,6m_skip1m
8,1.669606468314852,-17.185251607075152,5.5523092237545075,49.27531285551763,1758,6m_skip1m
9,1.4778756006194134,-18.463853785027904,4.8266779162621605,49.10750853242321,1758,6m_skip1m
10,0.13629928724222712,-25.77147638540638,0.45879239927196963,49.64391353811149,1758,6m_skip1m
1,2.5249084617563553,-25.030189196233927,7.3744073147794635,48.23606370875996,1758,12m_skip1m
2,3.077183587297078,-21.466200806765215,9.104469459562303,48.726393629124004,1758,12m_skip1m
3,2.4436245831463683,-20.07960750029312,7.481780332616175,48.56427758816837,1758,12m_skip1m
4,2.414215378230964,-18.34421870457032,7.600127567041174,48.79863481228669,1758,12m_skip1m
5,2.5438586900465534,-17.34979495383202,8.192310462418407,48.79692832764505,1758,12m_skip1m
6,1.7827609696215994,-17.52294584414897,5.6975862185161175,48.48293515358362,1758,12m_skip1m
7,1.6551484060182482,-17.475008842032267,5.24546007485875,48.693401592719,1758,12m_skip1m
8,1.5109818337626537,-17.81465384033665,5.093055188667272,48.66951080773607,1758,12m_skip1m
9,1.064743536552442,-18.62228509316365,3.5450087418530862,48.62116040955632,1758,12m_skip1m
10,0.5358780489106388,-23.762587398439862,1.8024927432683409,49.1490329920364,1758,12m_skip1m
1,2.2986456942803066,-26.283977786037195,6.929638177682185,48.41296928327645,1758,12m_noskip
2,3.0872370182704256,-22.077396669342246,8.997928526625202,48.87428896473265,1758,12m_noskip
3,2.41184841480194,-20.072330210334144,7.2604550274611475,48.82423208191126,1758,12m_noskip
4,2.467456154255983,-18.0936565036998,7.758334962891925,48.88452787258248,1758,12m_noskip
5,2.4204028248771756,-17.372167846916753,7.653131167820343,49.039249146757676,1758,12m_noskip
6,1.7809543653534705,-17.40638874730467,5.709825131762057,48.64960182025028,1758,12m_noskip
7,1.8049457000178173,-17.2727847802289,5.73692340267229,48.8259385665529,1758,12m_noskip
8,1.6941569068444755,-17.440007220314186,5.746812890224001,48.882821387940844,1758,12m_noskip
9,1.1238289238877708,-18.136945116474536,3.7280344160216456,48.815699658703075,1758,12m_noskip
10,0.5409439147285499,-23.819498857318152,1.8358043320569688,49.31171786120591,1758,12m_noskip
