decile,gross_fwd_pnl_per_vega,net_fwd_pnl_per_vega,gross_t_stat,mean_names,dates,window
1,2.3965197173668136,-28.54971702393738,7.440799669111527,49.340159271899886,1758,1w
2,2.36193031431472,-18.692581107778,7.375083492635646,49.90500568828214,1758,1w
3,2.244481508418334,-16.90938375255303,7.154733937286486,49.69397042093288,1758,1w
4,1.9876885959642248,-16.43457977234777,6.3550327011428775,49.863481228668945,1758,1w
5,2.0072373397177823,-16.162157299108777,6.519788051814807,49.95904436860068,1758,1w
6,2.070684385359531,-16.422307262566456,6.635033195403132,49.68771331058021,1758,1w
7,1.9728499123951846,-17.09008730444737,6.400053346984657,49.74061433447099,1758,1w
8,1.9561903190498973,-18.294490451095403,6.163886173286768,49.81683731513083,1758,1w
9,1.914396199966744,-20.899248953954444,5.960902057050839,49.78213879408418,1758,1w
10,1.1320280021720142,-30.781932496137927,3.4973972660547408,50.25028441410694,1758,1w
1,1.7071101837993272,-29.25006313040261,5.338450669254811,49.33219567690558,1758,1w_skip1
2,2.118070698347008,-19.04287808986758,6.610206980674084,49.89704209328783,1758,1w_skip1
3,2.1137508661927753,-17.16885795505197,6.735755958141609,49.68657565415245,1758,1w_skip1
4,1.9078577463904245,-16.63853771322017,6.110143466048818,49.85494880546075,1758,1w_skip1
5,1.988690867650093,-16.298377982387876,6.461030241100102,49.95392491467577,1758,1w_skip1
6,2.098560273779269,-16.50404174299271,6.713164477083421,49.68088737201365,1758,1w_skip1
7,2.0171952299600813,-17.068000030828454,6.5260854259804795,49.73151308304892,1758,1w_skip1
8,2.081581586378588,-18.14780767646215,6.542354996598271,49.810011376564276,1758,1w_skip1
9,2.1448637482447035,-20.613596306919064,6.681370493261542,49.773606370875996,1758,1w_skip1
10,1.847881134372566,-29.515289250414178,5.699538072661694,50.24288964732651,1758,1w_skip1
1,2.1531132568228952,-27.399880751877557,6.758206900252271,49.31797497155859,1758,2w
2,2.272654984360724,-18.654486448270394,7.262026225302607,49.87883959044368,1758,2w
3,2.199916893750495,-17.105326076057803,7.103163218584512,49.6740614334471,1758,2w
4,2.1454643553595805,-16.60161141489679,6.85270542357463,49.83674630261661,1758,2w
5,2.1041970180166545,-16.341933200086277,6.784734373866966,49.94653014789534,1758,2w
6,1.924678673766147,-16.701367829962393,6.199383016414599,49.66325369738339,1758,2w
7,1.941581086540659,-17.522272254486666,6.129335462778267,49.714448236632535,1758,2w
8,1.9837625995799473,-18.863962761542147,6.15215577901447,49.79635949943117,1758,2w
9,1.9384985007151063,-21.029872692138458,6.054145656469472,49.756541524459614,1758,2w
10,1.3551500716385196,-29.997668447310588,4.159469553408522,50.22753128555176,1758,2w
1,1.8834847654743674,-26.658303628955444,5.87993031202551,49.286120591581344,1758,1m
2,2.263331786426449,-18.490471488459022,7.20812467406951,49.83503981797497,1758,1m
3,2.121932117450969,-17.215812380552393,6.9307552056895005,49.63936291240046,1758,1m
4,2.094443965530585,-16.793833523557527,6.829203991274704,49.79522184300341,1758,1m
5,2.056807388163575,-16.607589553637435,6.780318058340711,49.92207053469852,1758,1m
6,2.08805595389838,-17.11255994343987,6.548322908616866,49.61433447098976,1758,1m
7,1.9931550557583926,-17.646604593284206,6.283063059007561,49.67463026166098,1758,1m
8,1.870131302311366,-19.200852150067348,5.826426568970138,49.75995449374289,1758,1m
9,2.0760417770533355,-21.322512438471495,6.454769719981487,49.714448236632535,1758,1m
10,1.5356928273783288,-29.142892309242406,4.596752006233999,50.195676905574516,1758,1m
1,1.5170212911838294,-27.150595428135926,4.728232249125028,49.27929465301479,1758,1m_skip1
2,2.102763112132425,-18.738205578191792,6.697166246133248,49.82650739476678,1758,1m_skip1
3,1.9891521377975265,-17.427840484436917,6.509892332006314,49.63196814562002,1758,1m_skip1
4,2.0415892155213777,-16.930532818990535,6.645575313868756,49.78782707622298,1758,1m_skip1
5,2.032336419604484,-16.67579692634801,6.684911665627299,49.91695108077361,1758,1m_skip1
6,2.1004476472152707,-17.15969290218095,6.582008156421316,49.60409556313993,1758,1m_skip1
7,2.0317303288566686,-17.609122039531307,6.4192273492896765,49.66780432309442,1758,1m_skip1
8,1.9765381999877651,-19.052470566633037,6.157300724119624,49.75199089874858,1758,1m_skip1
9,2.246385663451163,-21.055566192026856,6.9903070508870115,49.70648464163823,1758,1m_skip1
10,1.9317448164896565,-28.39489461202192,5.791532396311433,50.188850967007966,1758,1m_skip1
1,1.6541634677540786,-26.328265824823163,5.282489419809642,49.207622298065985,1758,2m
2,2.0885685563283354,-18.087825499768098,6.991603474627219,49.74914675767918,1758,2m
3,2.213275610028536,-17.02701121753684,7.1801644866019885,49.5608646188851,1758,2m
4,2.151818411765271,-17.055748611931463,6.788299969420096,49.72184300341297,1758,2m
5,2.059849207362755,-16.814189100723144,6.474562322979485,49.829920364050054,1758,2m
6,2.0682864102908787,-17.13213669032694,6.500088256658484,49.5250284414107,1758,2m
7,1.9270031109215477,-18.011680193866223,6.188601704661243,49.587599544937426,1758,2m
8,2.1128544753608103,-19.192206937741343,6.6872668673752695,49.695108077360636,1758,2m
9,2.068313535755295,-21.47341142513467,6.29723250943433,49.61490329920364,1758,2m
10,1.5493745971826653,-28.99672484116219,4.674410301803046,50.117747440273035,1758,2m
