horizon,target,model_a,model_b,loss,mean_loss_diff,t_stat,a_better,b_better
5,target_rv,RV,ARCH,mse,0.0018082672188755194,0.8264004305969062,False,False
5,target_rv,RV,ARCH,qlike,0.45177788164396704,1.4843948523904595,False,False
5,target_rv,RV,GARCH,mse,0.001092375111616745,0.3956535979392486,False,False
5,target_rv,RV,GARCH,qlike,0.43279778815341857,1.4780940659525021,False,False
5,target_rv,RV,IV,mse,0.005413119756528212,1.3734693784774168,False,False
5,target_rv,RV,IV,qlike,0.655096706855179,2.012051717260922,False,True
5,target_rv,RV,MEAN,mse,-0.001413751399138527,-0.3141618608240526,False,False
5,target_rv,RV,MEAN,qlike,0.10500045473109455,0.25566159258621424,False,False
5,target_rv,ARCH,GARCH,mse,-0.0007158921072587747,-0.6959339133234816,False,False
5,target_rv,ARCH,GARCH,qlike,-0.018980093490548355,-0.7512277288442417,False,False
5,target_rv,ARCH,IV,mse,0.0036048525376526927,1.3226441633183925,False,False
5,target_rv,ARCH,IV,qlike,0.203318825211212,1.1725375264818212,False,False
5,target_rv,ARCH,MEAN,mse,-0.003222018618014047,-1.2009923370910458,False,False
5,target_rv,ARCH,MEAN,qlike,-0.3467774269128725,-1.7928503957662758,False,False
5,target_rv,GARCH,IV,mse,0.004320744644911468,1.5606870320517052,False,False
5,target_rv,GARCH,IV,qlike,0.22229891870176033,1.236666252002505,False,False
5,target_rv,GARCH,MEAN,mse,-0.0025061265107552723,-0.9887884000883256,False,False
5,target_rv,GARCH,MEAN,qlike,-0.3277973334223241,-1.7359435680669242,False,False
5,target_rv,IV,MEAN,mse,-0.006826871155666742,-1.5735289045394536,False,False
5,target_rv,IV,MEAN,qlike,-0.5500962521240845,-1.7093317825500103,False,False
5,target_iv,RV,ARCH,mse,0.004356454138383174,2.0920938920517704,False,True
5,target_iv,RV,ARCH,qlike,1.0326969210694013,3.4349577858822364,False,True
5,target_iv,RV,GARCH,mse,0.0044059932590094445,1.6056120155678832,False,False
5,target_iv,RV,GARCH,qlike,1.0041472988725473,3.4781911914446533,False,True
5,target_iv,RV,IV,mse,0.006939229223732716,2.294646549122315,False,True
5,target_iv,RV,IV,qlike,1.2640960509547203,4.1502969998301795,False,True
5,target_iv,RV,MEAN,mse,0.005304842893831258,1.5528049610530403,False,False
5,target_iv,RV,MEAN,qlike,1.0971480933325624,3.5194005469686225,False,True
5,target_iv,ARCH,GARCH,mse,4.9539120626272454e-05,0.052062481171483474,False,False
5,target_iv,ARCH,GARCH,qlike,-0.028549622196854245,-1.2787706951606121,False,False
5,target_iv,ARCH,IV,mse,0.002582775085349544,1.8390020351958811,False,False
5,target_iv,ARCH,IV,qlike,0.23139912988531885,1.9870525761465752,False,True
5,target_iv,ARCH,MEAN,mse,0.0009483887554480845,0.6562149731231399,False,False
5,target_iv,ARCH,MEAN,qlike,0.064451172263161,1.0837383550231852,False,False
5,target_iv,GARCH,IV,mse,0.0025332359647232718,1.8255775003728243,False,False
5,target_iv,GARCH,IV,qlike,0.2599487520821731,2.189002537463419,False,True
5,target_iv,GARCH,MEAN,mse,0.0008988496348218122,0.791315359176197,False,False
5,target_iv,GARCH,MEAN,qlike,0.09300079446001525,1.4036125227973784,False,False
5,target_iv,IV,MEAN,mse,-0.0016343863299014597,-1.5425085201349125,False,False
5,target_iv,IV,MEAN,qlike,-0.16694795762215786,-2.169468336281137,True,False
21,target_rv,RV,ARCH,mse,0.0026470159952621964,0.4987644133508983,False,False
21,target_rv,RV,ARCH,qlike,-0.1897467371591831,-0.6470440929947172,False,False
21,target_rv,RV,GARCH,mse,0.0012444605022030007,0.2952459134783506,False,False
21,target_rv,RV,GARCH,qlike,-0.16500444890772664,-0.6132162279378256,False,False
21,target_rv,RV,IV,mse,0.0048327581602874954,0.9370328731519605,False,False
21,target_rv,RV,IV,qlike,0.10710876172436445,0.7637870543057514,False,False
21,target_rv,RV,MEAN,mse,-0.0002494448748469165,-0.04187473897678129,False,False
21,target_rv,RV,MEAN,qlike,-0.3747902311599616,-1.2551439894090386,False,False
21,target_rv,ARCH,GARCH,mse,-0.0014025554930591957,-0.840926098687176,False,False
21,target_rv,ARCH,GARCH,qlike,0.024742288251456426,0.6961819666285367,False,False
21,target_rv,ARCH,IV,mse,0.002185742165025298,0.713642322945697,False,False
21,target_rv,ARCH,IV,qlike,0.29685549888354756,0.9900313662413945,False,False
21,target_rv,ARCH,MEAN,mse,-0.0028964608701091132,-1.714504482415754,False,False
21,target_rv,ARCH,MEAN,qlike,-0.18504349400077844,-2.9309211578514516,True,False
21,target_rv,GARCH,IV,mse,0.003588297658084494,0.9456081690332614,False,False
21,target_rv,GARCH,IV,qlike,0.27211321063209115,0.9540671383560029,False,False
21,target_rv,GARCH,MEAN,mse,-0.0014939053770499173,-0.4914567566021803,False,False
21,target_rv,GARCH,MEAN,qlike,-0.2097857822522349,-2.629706969603936,True,False
21,target_rv,IV,MEAN,mse,-0.005082203035134411,-1.852327379241655,False,False
21,target_rv,IV,MEAN,qlike,-0.481898992884326,-1.6418654638684593,False,False
21,target_iv,RV,ARCH,mse,0.005929234711438908,1.4102523428145162,False,False
21,target_iv,RV,ARCH,qlike,0.4663765688751506,1.80104952492433,False,False
