date,option_pnl,hedge_pnl,cost,gross_pnl,total_pnl,long_pnl,short_pnl,gross_vega,n_positions
2025-03-06,101.27023713436265,229.7741346709617,0.0,331.0443718053243,331.0443718053243,871.0617877992678,-540.0174159939434,19086.84448533019,11
2025-03-07,-1076.911622425302,599.9632911054106,0.0,-476.94833131989157,-476.94833131989157,-1166.6214548814587,689.6731235615673,37591.13679776356,22
2025-03-10,-2467.595454085434,1705.1290133918442,0.0,-762.4664406935899,-762.4664406935899,5323.127547159859,-6085.593987853449,53345.69521276509,33
2025-03-11,2515.7256916783135,-2192.7625724978075,0.0,322.96311918050594,322.96311918050594,-241.06301447753128,564.0261336580371,52841.4367507919,33
2025-03-12,3732.1040242654894,-2477.611166919258,0.0,1254.4928573462312,1254.4928573462312,-1979.7461662818991,3234.2390236281303,51330.73986846703,33
2025-03-13,-638.6846104055818,3232.9559515129595,0.0,2594.2713411073773,2594.2713411073773,2075.4597612932153,518.8115798141624,48423.21072477314,33
2025-03-14,-3325.5274676266063,826.6476196511633,0.0,-2498.8798479754428,-2498.8798479754428,-3988.3540180833797,1489.4741701079365,46150.98302847673,33
2025-03-17,-2499.0799735295777,1058.6997316893242,0.0,-1440.3802418402536,-1440.3802418402536,-3473.358898125403,2032.9786562851496,56631.232353499014,44
2025-03-18,2022.9222603525725,2457.4466915424264,0.0,4480.368951895,4480.368951895,5176.752557629123,-696.3836057341229,75647.1536259752,87
2025-03-19,-6450.161485792752,4779.216141629528,0.0,-1670.9453441632234,-1670.9453441632234,-6420.003220046096,4749.057875882872,89006.79538289907,132
2025-03-20,-3489.2182900788907,2096.6230723616873,0.0,-1392.5952177172032,-1392.5952177172032,-3602.583194391285,2209.9879766740814,103757.71929501976,177
2025-03-21,14008.523520563724,-5229.854162089314,0.0,8778.669358474408,8778.669358474408,-1507.4368067356934,10286.106165210102,118864.39754748979,222
2025-03-24,-11371.998309496335,10841.045211332228,0.0,-530.9530981641082,-530.9530981641082,-3069.14685076884,2538.193752604732,122685.89784575683,267
2025-03-25,-3351.53477832795,767.1906187891044,0.0,-2584.3441595388454,-2584.3441595388454,-2029.0451889440883,-555.2989705947574,117560.19821993717,267
2025-03-26,4037.684592921445,4974.878527544447,0.0,9012.563120465893,9012.563120465893,8277.418871079064,735.1442493868282,132805.96558635007,280
2025-03-27,6790.611869319526,-5661.491580513747,0.0,1129.1202888057787,1129.1202888057787,2177.7652662700943,-1048.6449774643154,143507.1076891815,295
2025-03-28,11512.031873495245,-12119.69907327501,0.0,-607.6671997797625,-607.6671997797625,8649.746275702602,-9257.413475482364,152604.98207422165,312
2025-03-31,6685.143726613172,-101.47162467136849,0.0,6583.672101941804,6583.672101941804,3607.5740464925475,2976.0980554492553,151962.72805301068,327
