label,filters,holding_days,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
30d all cost=0,vega>=5 & px>=10 & oi>=25,21,161,18.8,209,826.7034895005096,2.2317376294226996,7994.638835830126,1.641538950881599,172781.0293056065,71998.62757171293,0.6172248803827751,172781.0293056065,0.0,NaN
30d all cost=0.5,vega>=5 & px>=10 & oi>=25,21,161,18.8,209,-4108.0676473936255,-6.8056833798210485,10511.239257179805,-6.204173512619602,-858586.1383052674,854866.8824681654,0.33014354066985646,172781.0293056065,1031367.1676108744,0.08376310335040413
30d earnings-in-life cost=0,vega>=5 & px>=10 & oi>=25 & earnings_in_life,21,31,17.7,119,251.70372136482575,0.7331062577569023,4312.3562954412355,0.9265636768067914,29952.74284241428,33347.39343361525,0.5462184873949579,29952.74284241428,0.0,NaN
30d earnings-in-life cost=0.5,vega>=5 & px>=10 & oi>=25 & earnings_in_life,21,31,17.7,119,-1930.6554809058985,-4.905429687064066,5239.233575445645,-5.849749811224631,-229748.0022278018,232723.56869307221,0.2857142857142857,29952.74284241428,259700.74507021616,0.05766780305985618
30d no-earnings-in-life cost=0,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,102,19.2,207,719.5947729623091,2.1317470789068773,4782.698762465808,2.388444987095965,148956.11800319803,59852.64735537469,0.6618357487922706,148956.11800319797,0.0,NaN
30d no-earnings-in-life cost=0.5,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,102,19.2,207,-2890.621898231365,-5.610670530786899,7595.249363957598,-6.0415659662181005,-598358.7329338922,598394.8349431517,0.36231884057971014,148956.11800319797,747314.8509370903,0.09966088444275895
30d no-earnings-within-10d cost=0,vega>=5 & px>=10 & oi>=25 & earnings_gap>10d,21,129,18.4,202,626.346569151906,1.6770521108199348,6632.181473459403,1.4991965432303616,126522.00696868508,81993.0881805835,0.6485148514851485,126522.00696868505,0.0,NaN
30d no-earnings-within-10d cost=0.5,vega>=5 & px>=10 & oi>=25 & earnings_gap>10d,21,129,18.4,202,-3694.3077409232096,-6.768055014765373,9393.14952899228,-6.24341357636553,-746250.1636664888,743940.0414800859,0.32673267326732675,126522.00696868505,872772.1706351734,0.07248283757524412
30d earnings-neutral cost=0,vega>=5 & px>=10 & oi>=25,21,161,18.8,209,783.9031296674299,1.8148996443204606,6845.731490840302,1.8177862241663734,163835.75410049278,69433.00146354845,0.631578947368421,163835.75410049284,0.0,NaN
30d earnings-neutral cost=0.5,vega>=5 & px>=10 & oi>=25,21,161,18.8,209,-4622.734576876726,-6.343662396740363,9962.243937400548,-7.3661754185070984,-966151.5265672356,964051.4636992633,0.3062200956937799,163835.75410049284,1129987.2806677287,0.07249451250622906
60d all cost=0,vega>=5 & px>=10 & oi>=100,21,163,20.3,206,1033.6468033071744,3.115701187333077,6020.915479861714,2.725272321966384,212931.241481278,25536.160291692446,0.6213592233009708,212931.24148127803,0.0,NaN
60d all cost=0.5,vega>=5 & px>=10 & oi>=100,21,163,20.3,206,-1650.456117746323,-4.107832829610069,6291.167654021177,-4.1645971090191605,-339993.9602557424,363404.2157269103,0.2961165048543689,212931.24148127803,552925.2017370206,0.19254977057688108
60d no-earnings-in-life cost=0,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,72,15.0,143,687.9558409319695,3.1517209830954993,2799.3143068391746,3.9012983936530987,98377.68525327164,12247.486447567288,0.5804195804195804,98377.68525327166,0.0,NaN
60d no-earnings-in-life cost=0.5,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,72,15.0,143,-1015.3884697771113,-3.9447999852404463,2913.0919278327788,-5.533224714575927,-145200.55117812695,144068.47756863196,0.32167832167832167,98377.68525327166,243578.23643139857,0.20194268316943573
60d earnings-neutral cost=0,vega>=5 & px>=10 & oi>=100,21,163,20.3,206,714.0282874012873,2.230064192783486,4990.973043805675,2.2710697023785187,147089.82720466514,38287.63502854569,0.616504854368932,147089.8272046652,0.0,NaN
60d earnings-neutral cost=0.5,vega>=5 & px>=10 & oi>=100,21,163,20.3,206,-2078.6722060666416,-5.596493925653884,5338.676819597484,-6.180913249087435,-428206.47444972815,427263.8798092774,0.2669902912621359,147089.8272046652,575296.3016543933,0.12783832155853903
120d all cost=0,vega>=5 & px>=10 & oi>=100,21,204,15.8,211,685.3885012929537,2.692978311813723,5259.054489075113,2.068851953884208,144616.97377281322,28691.51767848499,0.6018957345971564,144616.97377281327,0.0,NaN
120d all cost=0.5,vega>=5 & px>=10 & oi>=100,21,204,15.8,211,-2485.18826283954,-5.17284205882087,6279.2520062468775,-6.282777086928911,-524374.7234591433,522345.7248746926,0.26066350710900477,144616.97377281327,668991.6972319564,0.10808577622949997
120d no-earnings-within-10d cost=0,vega>=5 & px>=10 & oi>=100 & earnings_gap>10d,21,175,14.5,211,381.5723867360289,2.0445580989720025,3503.913893111449,1.728716526609205,80511.77360130212,28216.215174525765,0.5876777251184834,80511.77360130213,0.0,NaN
120d no-earnings-within-10d cost=0.5,vega>=5 & px>=10 & oi>=100 & earnings_gap>10d,21,175,14.5,211,-2290.4622625593965,-6.086255090815478,4793.151279494501,-7.585815486403253,-483287.5374000328,481072.0661172578,0.2890995260663507,80511.77360130213,563799.311001335,0.07140109257876646
120d earnings-neutral cost=0,vega>=5 & px>=10 & oi>=100,21,204,15.8,211,682.8881274085064,2.6851633047629657,5237.586760818918,2.069753389386152,144089.394883195,28683.282187556993,0.6018957345971564,144089.3948831949,0.0,NaN
120d earnings-neutral cost=0.5,vega>=5 & px>=10 & oi>=100,21,204,15.8,211,-2470.867687721776,-5.197522571015895,6230.466415877536,-6.295485109362815,-521353.08210929483,519324.08352484414,0.27488151658767773,144089.3948831949,665442.4769924898,0.1082658530714903
