tenor,quantile,frac_earnings_in_life,median_days_to_earnings
30,0,0.07007397444519166,63.0
30,1,0.1145947426067908,58.0
30,2,0.17833265111202073,55.0
30,3,0.22702407002188185,51.0
30,4,0.2711190345584202,49.0
30,5,0.30270490689139595,47.0
30,6,0.34160982264665757,44.0
30,7,0.40062918889344823,42.0
30,8,0.4919420923245015,33.0
30,9,0.7479652365843564,21.0
60,0,0.2991418062934205,71.0
60,1,0.4439988938053097,62.0
60,2,0.5137033466464674,55.0
60,3,0.5634230503795721,50.0
60,4,0.6169271193472549,45.0
60,5,0.6453208739865329,43.0
60,6,0.6733149931224209,42.0
60,7,0.7300995024875622,39.0
60,8,0.7919250378944468,35.0
60,9,0.8455646845843198,34.0
90,0,0.7750102082482646,56.0
90,1,0.8615405853119823,50.0
90,2,0.8852030282174811,48.0
90,3,0.9056030913607508,48.0
90,4,0.9261875086553109,45.0
90,5,0.9405628002745368,43.0
90,6,0.9555157691777992,42.0
90,7,0.9646896551724138,41.0
90,8,0.9676263948202232,37.0
90,9,0.970259703993298,36.0
120,0,0.9854479308776717,62.0
120,1,0.991976546829193,57.0
120,2,0.9938508839354343,55.0
120,3,0.9966117357153857,54.0
120,4,0.9948932219127206,52.0
120,5,0.9961709296982693,50.0
120,6,0.9933917319809435,48.0
120,7,0.9946079186566015,45.0
120,8,0.9895304080061585,41.0
120,9,0.9920461634435433,40.0
