label,filters,holding_days,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
30d expiry oi>=25 cost=0,vega>=5 & px>=10 & oi>=25,21,161,18.8,209,1147.9582400076515,2.2111438018796203,10977.79440174193,1.6600121522037468,239923.2721615992,91391.16353697689,0.6172248803827751,239923.2721615992,0.0,NaN
30d expiry oi>=25 cost=0.5,vega>=5 & px>=10 & oi>=25,21,161,18.8,209,-1654.4480803175559,-3.4456331234249804,11220.25492068905,-2.340726592325759,-345779.6487863693,340824.4634667809,0.4258373205741627,239923.2721615992,585702.9209479684,0.2048165235144124
30d expiry oi>=25 no-earn cost=0,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,102,19.2,207,1865.7018423549475,2.534223165031719,10700.956573308264,2.7677057064853643,386200.2813674739,130192.67663313879,0.6618357487922706,386200.281367474,0.0,NaN
30d expiry oi>=25 no-earn cost=0.5,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,102,19.2,207,-1345.0562969167825,-2.3372244905624804,10844.391923835476,-1.9689538072861985,-278426.653461774,278575.54565731075,0.463768115942029,386200.281367474,664626.9348292479,0.290539143938467
30d expiry oi>=100 cost=0,vega>=5 & px>=10 & oi>=100,21,97,17.4,201,1282.0014618037476,2.1243323236514975,11490.843883754924,1.7710746483028252,257682.29382255313,93387.68447305445,0.5621890547263682,257682.29382255313,0.0,NaN
30d expiry oi>=100 cost=0.5,vega>=5 & px>=10 & oi>=100,21,97,17.4,201,-1460.632918056022,-2.9277745295556237,11527.1610590344,-2.01149516596823,-293587.2165292604,320011.0156138115,0.4228855721393035,257682.29382255313,551269.5103518134,0.23371716463885647
30d expiry oi>=100 no-earn cost=0,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,77,15.3,184,1512.4692045540296,2.473698933361784,10778.917360737092,2.2274690009980747,278294.33363794134,82060.9454780649,0.6086956521739131,278294.33363794134,0.0,NaN
30d expiry oi>=100 no-earn cost=0.5,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,77,15.3,184,-1411.6162730756068,-2.845956899349586,11268.425372065909,-1.9886286585178017,-259737.3942459115,264909.71072344616,0.4673913043478261,278294.33363794134,538031.7278838529,0.25862260459295616
30d expiry oi>=250 cost=0,vega>=5 & px>=10 & oi>=250,21,76,12.9,201,848.0087654321435,0.8836136902398994,14278.547806143884,0.9427934829496973,170449.76185186076,158955.5992682506,0.527363184079602,170449.76185186073,0.0,NaN
30d expiry oi>=250 cost=0.5,vega>=5 & px>=10 & oi>=250,21,76,12.9,201,-1508.3029067266389,-1.6502785585610475,14330.679474934199,-1.6707907255623808,-303168.8842520544,368248.7071937689,0.4079601990049751,170449.76185186073,473618.64610391506,0.1799440998090085
30d expiry oi>=250 no-earn cost=0,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,58,11.7,168,766.2393237046485,0.8320760189129591,11894.574509029932,1.022623563579403,128728.206382381,131492.56143016915,0.5535714285714286,128728.20638238089,0.0,NaN
30d expiry oi>=250 no-earn cost=0.5,vega>=5 & px>=10 & oi>=250 & no_earnings_in_life,21,58,11.7,168,-1655.1401390095218,-2.17057254218334,12176.368358717962,-2.1578301824179413,-278063.5433535995,293081.3961181229,0.42857142857142855,128728.20638238089,406791.7497359805,0.15822371823657827
60d expiry oi>=25 cost=0,vega>=5 & px>=10 & oi>=25,21,169,27.1,206,642.8834571514258,2.061482133161453,5515.854567735012,1.8502044193510017,132433.9921731938,43385.20449684511,0.5970873786407767,132433.99217319372,0.0,NaN
60d expiry oi>=25 cost=0.5,vega>=5 & px>=10 & oi>=25,21,169,27.1,206,-449.850332480445,-1.4068815053063681,5585.882461924844,-1.2784287335679276,-92669.16849097172,129609.61058740913,0.49029126213592233,132433.99217319372,225103.16066416545,0.2941628891003753
60d expiry oi>=25 no-earn cost=0,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,82,19.2,171,1067.6598711122692,4.231302612842347,4629.134983354343,3.6612833895625205,182569.8379601979,21177.31236638868,0.5614035087719298,182569.837960198,0.0,NaN
60d expiry oi>=25 no-earn cost=0.5,vega>=5 & px>=10 & oi>=25 & no_earnings_in_life,21,82,19.2,171,-89.38935555870094,-0.23976596045644083,4784.955690127529,-0.29655698398956154,-15285.57980053787,57760.87245783267,0.4444444444444444,182569.837960198,197855.41776073584,0.46137184421448973
60d expiry oi>=100 cost=0,vega>=5 & px>=10 & oi>=100,21,163,20.3,206,796.4105195995414,2.4761426836059917,6542.755880814969,1.9323088448597199,164060.5670375056,41481.585471956496,0.587378640776699,164060.5670375056,0.0,NaN
60d expiry oi>=100 cost=0.5,vega>=5 & px>=10 & oi>=100,21,163,20.3,206,-139.9966742145299,-0.4364751229283158,6572.18764770888,-0.33814894297203896,-28839.3148881932,94464.87398927513,0.46601941747572817,164060.5670375056,192899.88192569878,0.42524797164131617
60d expiry oi>=100 no-earn cost=0,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,72,15.0,169,1290.0209348392546,3.6993449455888716,5678.860655245456,3.6060838117228338,218013.5379878339,20396.893960431946,0.5621301775147929,218013.53798783402,0.0,NaN
60d expiry oi>=100 no-earn cost=0.5,vega>=5 & px>=10 & oi>=100 & no_earnings_in_life,21,72,15.0,169,344.52859835887386,0.7474934504817978,5872.065193401054,0.9313966662001053,58225.33312264976,60410.450646077654,0.47337278106508873,218013.53798783402,159788.20486518435,0.682195341551572
60d expiry oi>=250 cost=0,vega>=5 & px>=10 & oi>=250,21,161,14.5,206,676.9529844298343,1.5197513401713836,7425.89534359202,1.4471380189567524,139452.3147925458,65420.06013005544,0.5825242718446602,139452.3147925459,0.0,NaN
60d expiry oi>=250 cost=0.5,vega>=5 & px>=10 & oi>=250,21,161,14.5,206,-120.08370229048074,-0.28141814442622165,7443.967336285411,-0.2560824880763673,-24737.242671839023,120276.61788047223,0.49029126213592233,139452.3147925459,164189.55746438494,0.42466864807402593
