label,filters,holding_days,formation_days,names_per_side,days,mean_daily_pnl,t_stat_nw,daily_vol,sharpe_annual,total_pnl,max_drawdown,hit_rate,gross_pnl,spread_cost,break_even_spread_frac
120d hold=21d oi>=100 cost=0,vega>=5 & px>=10 & oi>=100,21,204,15.8,211,685.3885012929537,2.692978311813723,5259.054489075113,2.068851953884208,144616.97377281322,28691.51767848499,0.6018957345971564,144616.97377281327,0.0,NaN
120d hold=21d oi>=100 cost=0.5,vega>=5 & px>=10 & oi>=100,21,204,15.8,211,-2485.18826283954,-5.17284205882087,6279.2520062468775,-6.282777086928911,-524374.7234591433,522345.7248746926,0.26066350710900477,144616.97377281327,668991.6972319564,0.10808577622949997
120d hold=21d oi>=250 cost=0,vega>=5 & px>=10 & oi>=250,21,166,11.7,211,556.8669714638993,2.7475497260905963,4233.301033392889,2.0882023388613207,117498.9309788829,37766.62645018179,0.6018957345971564,117498.9309788828,0.0,NaN
120d hold=21d oi>=250 cost=0.5,vega>=5 & px>=10 & oi>=250,21,166,11.7,211,-1709.5837274083028,-4.825920538874411,5260.1541197562565,-5.159316573455987,-360722.16648315213,358847.862824949,0.27488151658767773,117498.9309788828,478221.0974620348,0.12285000766639206
120d hold=42d oi>=100 cost=0,vega>=5 & px>=10 & oi>=100,42,204,15.8,211,384.56907447787495,1.9634881565905404,3957.157262476031,1.5427349465885376,81144.07471483161,23146.053957139207,0.5497630331753555,81144.07471483164,0.0,NaN
120d hold=42d oi>=100 cost=0.5,vega>=5 & px>=10 & oi>=100,42,204,15.8,211,-1224.484577762453,-3.020335368715813,5019.923248698944,-3.872188696709302,-258366.24590787757,257351.74661565223,0.3127962085308057,81144.07471483164,339510.32062270923,0.11950163188854186
120d hold=42d oi>=250 cost=0,vega>=5 & px>=10 & oi>=250,42,166,11.7,211,362.9983665278303,2.184873763060797,3264.415865928719,1.7652225272751745,76592.65533737221,30746.20703817316,0.5781990521327014,76592.6553373722,0.0,NaN
120d hold=42d oi>=250 cost=0.5,vega>=5 & px>=10 & oi>=250,42,166,11.7,211,-786.1388380514838,-2.585351211322715,4507.27923866171,-2.768758381259388,-165875.29482886306,164938.1429997615,0.43601895734597157,76592.6553373722,242467.95016623533,0.15794387523146974
120d hold=63d oi>=100 cost=0,vega>=5 & px>=10 & oi>=100,63,204,15.8,211,336.8977308333202,2.263338665421074,3109.8699318159706,1.7197136200351333,71085.42120583059,19144.0127103205,0.5497630331753555,71085.42120583059,0.0,NaN
120d hold=63d oi>=100 cost=0.5,vega>=5 & px>=10 & oi>=100,63,204,15.8,211,-791.3084071170964,-2.050304323850008,4467.701378488427,-2.811654242157287,-166966.07390170734,166585.71051209906,0.33649289099526064,71085.42120583059,238051.49510753795,0.1493068152622152
120d hold=63d oi>=250 cost=0,vega>=5 & px>=10 & oi>=250,63,166,11.7,211,271.49367103682886,2.3556635278436526,2739.631819371671,1.5731414659715195,57285.16458877093,22195.77375589908,0.5355450236966824,57285.164588770924,0.0,NaN
120d hold=63d oi>=250 cost=0.5,vega>=5 & px>=10 & oi>=250,63,166,11.7,211,-543.0215856629522,-1.9222026967971497,3717.1522105338177,-2.3190334818134426,-114577.55457488295,117388.26162141073,0.41706161137440756,57285.164588770924,171862.71916365388,0.16665965972009883
