19:25:42 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
19:25:42 level_book reference paths: 1067053 rows (0s)
19:25:43 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/index_greeks_2017/SPX.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
19:25:43 level_book surface: 1067345 rows (1s)
19:25:45 level_book HAR: 1046279 forecasts, last fit [{'date': datetime.date(2025, 10, 1), 'rows': 1043953, 'const': -1.131449256807854, 'residual_var': 0.5294040664610805, 'b_rv_1': 0.025852336886258424, 'b_rv_5': 0.19588718583422726, 'b_rv_22': 0.8056671009823344}] (3s)
19:25:46 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
19:25:49 voltium.backtester 2018-07-02  positions=4  day pnl=-898  cum pnl=-898
19:26:12 voltium.backtester 2018-07-17  positions=13  day pnl=170  cum pnl=-7793
19:26:37 voltium.backtester 2018-07-31  positions=19  day pnl=5887  cum pnl=-15543
19:27:02 voltium.backtester 2018-08-14  positions=29  day pnl=2495  cum pnl=-11112
19:27:27 voltium.backtester 2018-08-28  positions=36  day pnl=11070  cum pnl=-10209
19:27:53 voltium.backtester 2018-09-12  positions=38  day pnl=-6298  cum pnl=-52346
19:28:17 voltium.backtester 2018-09-26  positions=39  day pnl=5852  cum pnl=-45023
19:28:42 voltium.backtester 2018-10-10  positions=45  day pnl=-13476  cum pnl=-79378
19:29:06 voltium.backtester 2018-10-24  positions=40  day pnl=-19717  cum pnl=-116570
19:29:30 voltium.backtester 2018-11-07  positions=42  day pnl=-12286  cum pnl=-223797
19:29:55 voltium.backtester 2018-11-21  positions=47  day pnl=-4874  cum pnl=-246457
19:30:21 voltium.backtester 2018-12-07  positions=49  day pnl=373  cum pnl=-290079
19:30:47 voltium.backtester 2018-12-21  positions=51  day pnl=-2872  cum pnl=-318058
19:31:01 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2019/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
19:31:19 voltium.backtester 2019-01-08  positions=48  day pnl=4475  cum pnl=-372607
19:31:54 voltium.backtester 2019-01-23  positions=49  day pnl=-5355  cum pnl=-391256
19:32:28 voltium.backtester 2019-02-06  positions=49  day pnl=-3760  cum pnl=-417364
19:33:04 voltium.backtester 2019-02-21  positions=48  day pnl=1906  cum pnl=-461514
19:33:38 voltium.backtester 2019-03-07  positions=46  day pnl=-3527  cum pnl=-555155
19:34:14 voltium.backtester 2019-03-21  positions=49  day pnl=-19141  cum pnl=-569844
19:34:48 voltium.backtester 2019-04-04  positions=56  day pnl=587  cum pnl=-632042
19:35:24 voltium.backtester 2019-04-18  positions=57  day pnl=-890  cum pnl=-655753
19:35:59 voltium.backtester 2019-05-03  positions=54  day pnl=-2824  cum pnl=-680292
19:36:33 voltium.backtester 2019-05-17  positions=58  day pnl=10800  cum pnl=-654448
19:37:08 voltium.backtester 2019-06-03  positions=59  day pnl=-8122  cum pnl=-728059
19:37:43 voltium.backtester 2019-06-17  positions=63  day pnl=-618  cum pnl=-715939
19:38:17 voltium.backtester 2019-07-01  positions=63  day pnl=-34495  cum pnl=-770983
19:38:51 voltium.backtester 2019-07-16  positions=64  day pnl=-735  cum pnl=-780235
19:39:25 voltium.backtester 2019-07-30  positions=60  day pnl=1162  cum pnl=-837481
19:40:00 voltium.backtester 2019-08-13  positions=63  day pnl=-4247  cum pnl=-869805
19:40:35 voltium.backtester 2019-08-27  positions=62  day pnl=-13330  cum pnl=-943393
19:41:09 voltium.backtester 2019-09-11  positions=59  day pnl=-17765  cum pnl=-1015128
19:41:44 voltium.backtester 2019-09-25  positions=59  day pnl=664  cum pnl=-1013796
19:42:19 voltium.backtester 2019-10-09  positions=61  day pnl=4539  cum pnl=-1059228
19:42:53 voltium.backtester 2019-10-23  positions=63  day pnl=-1205  cum pnl=-1058706
19:43:27 voltium.backtester 2019-11-06  positions=60  day pnl=-3415  cum pnl=-1144494
19:44:01 voltium.backtester 2019-11-20  positions=64  day pnl=-1939  cum pnl=-1199499
19:44:35 voltium.backtester 2019-12-05  positions=65  day pnl=-1499  cum pnl=-1216051
19:45:09 voltium.backtester 2019-12-19  positions=67  day pnl=-2907  cum pnl=-1241575
19:45:33 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2020/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
