11:48:08 level_book 533 symbols, history from 2023-10-23, forward to 2025-10-08
11:48:08 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:08 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AAL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:09 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AAPL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:09 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ABBV.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:10 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ABNB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:10 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ABT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:11 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ACGL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:11 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ACN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:12 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ADBE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:12 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ADI.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:13 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ADM.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:13 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ADP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:14 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ADSK.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:14 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AEE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:15 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AEP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:15 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AES.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:16 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AFL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:16 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AIG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:17 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AIZ.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:17 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AJG.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:18 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AKAM.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:18 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ALB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:19 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ALGN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:19 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ALK.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:19 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ALL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:20 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ALLE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:20 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMAT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:21 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMCR.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:21 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMD.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:21 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AME.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:22 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMGN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:22 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:23 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:23 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2024/AMTM.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:23 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AMZN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:24 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ANET.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:24 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ANSS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
11:48:25 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AON.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:25 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/AOS.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
11:48:26 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/APA.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
