15:42:36 level_book 659 symbols, history from 2017-04-24, forward to 2025-10-08
15:42:37 level_book reference paths: 1067053 rows (1s)
15:42:37 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/A.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:37 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AAL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AAP.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:38 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/AAPL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:39 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ABBV.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:39 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2018/ABMD.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:40 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2023/ABNB.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:40 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ABT.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0101, theta/day share 1.00)
15:42:40 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2022/ACGL.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ACN.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
15:42:41 voltium.loaders vega convention for /Users/andrew/Projects/quant-research/data_store/option_greeks_2017/ADBE.parquet: per_1.00_iv (per-unit share 1.00, per-point share 0.00, median dP/vega ratio 0.0100, theta/day share 1.00)
